record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,title_similarity,normalized_title_exact,strong_archival_doi,triage_bucket
600,Coding Agents with Multimodal Browsing are Generalist Problem Solvers,Preprint/technical report,ICML 2025 Computer-use Agents Workshop,OpenReview 6HF55i7bca; 2506.03011,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: EACL 2026',Coding Agents with Multimodal Browsing are Generalist Problem Solvers,Findings of the Association for Computational Linguistics: EACL 2026,2026,10.18653/v1/2026.findings-eacl.318,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 6052-6069 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: EACL 2026',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
630,ExpSeek: Self-Triggered Experience Seeking for Web Agents,Preprint/technical report,—,https://arxiv.org/abs/2601.08605; arXiv:2601.08605,arxiv.org,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: ACL 2026',ExpSeek: Self-Triggered Experience Seeking for Web Agents,Findings of the Association for Computational Linguistics: ACL 2026,2026,10.18653/v1/2026.findings-acl.1462,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 29255-29283 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2026',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
654,How do Visual Attributes Influence Web Agents: A Comprehensive Evaluation of User Interface Design Factors,Preprint/technical report,arXiv preprint arXiv:2601.21961,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: ACL 2026',How do Visual Attributes Influence Web Agents? A Comprehensive Evaluation of User Interface Design Factors,Findings of the Association for Computational Linguistics: ACL 2026,2026,10.18653/v1/2026.findings-acl.1723,openalex:title | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 34520-34536 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2026',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
707,WASP: Benchmarking Web Agent Security Against Prompt Injection Attacks,Workshop/conditional,ICML 2025 Workshop on Computer Use Agents (WCUA 2025),arXiv:2504.18575,,no,UPGRADE,register 'Workshop/conditional'; strong archival evidence 'Advances in Neural Information Processing Systems 38',WASP: Benchmarking Web Agent Security Against Prompt Injection Attacks,Advances in Neural Information Processing Systems 38,2025,10.52202/085713-0666,datacite:arxiv | openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 22436-22458 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 38',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
710,A Survey on Autonomy-Induced Security Risks in Large Model-Based Agents,Preprint/technical report,arXiv preprint arXiv:2501.00238,https://doi.org/10.48550/arXiv.2501.00238,doi.org,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'IEEE Transactions on Pattern Analysis and Machine Intelligence',A Survey on Autonomy-Induced Security Risks in Large Model-Based Agents,IEEE Transactions on Pattern Analysis and Machine Intelligence,2026,10.1109/tpami.2026.3688650,openalex:title | crossref:title,openalex:title: location[journal]='IEEE Transactions on Pattern Analysis and Machine Intelligence' | openalex:title: DOI prefix 10.1109 (IEEE) | openalex:title: pages 1-20 | crossref:title: crossref type=journal-article venue='IEEE Transactions on Pattern Analysis and Machine Intelligence',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
712,Security Challenges in AI Agent Deployment: Insights from a Large Scale Public Competition,Preprint/technical report,arXiv preprint arXiv:2501.17490,https://doi.org/10.48550/arXiv.2501.17490,doi.org,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 38',Security Challenges in AI Agent Deployment: Insights from a Large Scale Public Competition,Advances in Neural Information Processing Systems 38,2025,10.52202/085713-2676,openalex:title | crossref:title,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 88855-88891 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 38',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
714,Dark Patterns Meet GUI Agents: LLM Agent Susceptibility to Manipulative Interfaces and the Role of Human Oversight,Preprint/technical report,arXiv preprint arXiv:2507.01030,https://doi.org/10.48550/arXiv.2507.01030,doi.org,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems',Dark Patterns Meet GUI Agents: LLM Agent Susceptibility to Manipulative Interfaces and the Role of Human Oversight,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,2026,10.1145/3772318.3791568,openalex:title | crossref:title,openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 1-26 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
719,Mind the Web: The Security of Web Use Agents,Preprint/technical report,arXiv preprint arXiv:2506.07153,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the ACM Asia Conference on Computer and Communications Security',Mind the Web: The Security of Web Use Agents,Proceedings of the ACM Asia Conference on Computer and Communications Security,2026,10.1145/3779208.3805968,openalex:title | crossref:title,openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 835-851 | crossref:title: crossref type=proceedings-article venue='Proceedings of the ACM Asia Conference on Computer and Communications Security',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
725,SecureWebArena: A Holistic Security Evaluation Benchmark for LVLM-based Web Agents,Preprint/technical report,arXiv preprint arXiv:2504.07639,https://doi.org/10.48550/arXiv.2504.07639,doi.org,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: ACL 2026',SecureWebArena: A Holistic Security Evaluation Benchmark for LVLM-based Web Agents,Findings of the Association for Computational Linguistics: ACL 2026,2026,10.18653/v1/2026.findings-acl.582,openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 11986-11998 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2026',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
727,WebSP-Eval: Evaluating Web Agents on Website Security and Privacy Tasks,Preprint/technical report,arXiv preprint arXiv:2506.05444,https://doi.org/10.48550/arXiv.2506.05444,doi.org,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings on Privacy Enhancing Technologies',WebSP-Eval: Evaluating Web Agents on Website Security and Privacy Tasks,Proceedings on Privacy Enhancing Technologies,2026,10.56553/popets-2026-0140,openalex:title | openalex:title | openalex:title | crossref:title,openalex:title: location[journal]='Proceedings on Privacy Enhancing Technologies' | openalex:title: pages 666-702 | crossref:title: crossref type=journal-article venue='Proceedings on Privacy Enhancing Technologies',no,A3,PENDING,,,,,1.0000,yes,no,A3_MANUAL_WEB_CHECK
735,TrustAgent Towards Safe and Trustworthy LLM-based Agents,Unconfirmed,,,,no,UPGRADE,register 'Unconfirmed'; strong archival evidence 'Findings of the Association for Computational Linguistics: EMNLP 2024',TrustAgent: Towards Safe and Trustworthy LLM-based Agents,Findings of the Association for Computational Linguistics: EMNLP 2024,2024,10.18653/v1/2024.findings-emnlp.585,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 10000-10016 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: EMNLP 2024',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
739,BadAgent Inserting and Activating Backdoor Attacks in LLM Agents,Unconfirmed,,,,no,UPGRADE,register 'Unconfirmed'; strong archival evidence 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',BadAgent: Inserting and Activating Backdoor Attacks in LLM Agents,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2024,10.18653/v1/2024.acl-long.530,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 9811-9827 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
740,Preemptive Detection and Correction of Misaligned Actions in LLM Agents,Preprint/technical report,,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing',Preemptive Detection and Correction of Misaligned Actions in LLM Agents,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,2025,10.18653/v1/2025.emnlp-main.12,openalex:title | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 222-244 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
742,Caution for the Environment Multimodal LLM Agents are Susceptible to Environmental Distractions,Preprint/technical report,,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',Caution for the Environment: Multimodal LLM Agents are Susceptible to Environmental Distractions,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2025,10.18653/v1/2025.acl-long.1087,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 22324-22339 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
753,The Task Shield Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents,Preprint/technical report,arXiv preprint arXiv:2412.16682,arXiv:2412.16682,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',The Task Shield: Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2025,10.18653/v1/2025.acl-long.1435,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 29680-29697 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
756,Contextual Agent Security A Policy for Every Purpose,Workshop/conditional,Proceedings of the 20th Workshop on Hot Topics in Operating Systems,https://doi.org/10.1145/3713082.3713098,doi.org,no,UPGRADE,register 'Workshop/conditional'; strong archival evidence 'Proceedings of the Workshop on Hot Topics in Operating Systems',Contextual Agent Security: A Policy for Every Purpose,Proceedings of the Workshop on Hot Topics in Operating Systems,2025,10.1145/3713082.3730378,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 8-17 | crossref:title: crossref type=proceedings-article venue='Proceedings of the Workshop on Hot Topics in Operating Systems',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
760,A Survey on Trustworthy LLM Agents: Threats and Countermeasures,Preprint/technical report,,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2',A Survey on Trustworthy LLM Agents: Threats and Countermeasures,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,2025,10.1145/3711896.3736561,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 6216-6226 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
766,Inherent and emergent liability issues in LLM-based agentic systems a principal-agent perspective,Preprint/technical report,,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 1st Workshop for Research on Agent Language Models (REALM 2025)',Inherent and emergent liability issues in LLM-based agentic systems: a principal-agent perspective,Proceedings of the 1st Workshop for Research on Agent Language Models (REALM 2025),2025,10.18653/v1/2025.realm-1.9,openalex:title | openalex:title | crossref:title | crossref:title,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 109-130 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 1st Workshop for Research on Agent Language Models (REALM 2025)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
793,World Models: The Safety Perspective,Workshop/conditional,2024 IEEE 35th International Symposium on Software Reliability Engineering Workshops (ISSREW),,,no,UPGRADE,register 'Workshop/conditional'; strong archival evidence '2024 IEEE 35th International Symposium on Software Reliability Engineering Workshops (ISSREW)',World Models: The Safety Perspective,2024 IEEE 35th International Symposium on Software Reliability Engineering Workshops (ISSREW),2024,10.1109/issrew63542.2024.00104,openalex:title | openalex:title | crossref:title,openalex:title: DOI prefix 10.1109 (IEEE) | openalex:title: pages 369-376 | crossref:title: crossref type=proceedings-article venue='2024 IEEE 35th International Symposium on Software Reliability Engineering Workshops (ISSREW)',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
806,Promoting Sustainable Web Agents Benchmarking and Estimating Energy Consumption Through Empirical and Theoretical Analysis,Preprint/technical report,arXiv preprint arXiv:2511.04481,,,no,UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the AAAI Conference on Artificial Intelligence',Promoting Sustainable Web Agents: Benchmarking and Estimating Energy Consumption Through Empirical and Theoretical Analysis,Proceedings of the AAAI Conference on Artificial Intelligence,2026,10.1609/aaai.v40i45.41221,openalex:title | openalex:title | openalex:title | openalex:title | crossref:title,openalex:title: location[conference]='Proceedings of the AAAI Conference on Artificial Intelligence' | openalex:title: DOI prefix 10.1609 (AAAI) | openalex:title: pages 38772-38780 | crossref:title: crossref type=journal-article venue='Proceedings of the AAAI Conference on Artificial Intelligence',no,A3,PENDING,,,,,1.0000,yes,yes,A3_STRONG_TITLE_DOI
