record_id,title,section,priority,initial_note_quality,audit_computed_source_quality,source_match_score,original_note_source,content_provenance,note_file,full_text_status,full_text_basis,pdf_pages,pdf_sha256,title_similarity,review_standard,claim_use_status
157,ReflAct World-Grounded Decision Making in LLM Agents via Goal-State Reflection,S3,P2,B,A,1.000,S5/S5.3/P2/S5_3_P2_paper_first_detailed_markdown_notes/S5_3_P2_11_ReflAct_World-Grounded_Decision_Making_in_LLM_Agents_via_Goal-State_Reflection.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0157.md,current-cycle full text independently read and title-checked from the EMNLP paper,"Full paper; ReAct failure diagnosis, goal-state reflection, interactive evaluations, module comparisons, error analysis and appendices reviewed",,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
162,OS Agents- A Survey on MLLM-based Agents for General Computing Devices Use,S3,P2,B,A,1.000,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes_all/S3_P2_085_OS_Agents_A_Survey_on_MLLM-based_Agents_for_General_Computing_Devices_Use.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0162.md,current-cycle full text independently read and title-checked from the ACL survey and companion full survey,"Survey; environment/observation/action spaces, understanding/planning/grounding, construction, benchmarks, safety/privacy, personalization and self-evolution reviewed",,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
169,"Large Language Model Agents- A Comprehensive Survey on Architectures, Capabilities, and Applications",S3,P2,B,A,1.000,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes/S3_P2_092_Large_Language_Model_Agents_A_Comprehensive_Survey_on_Architectures_Capabilities_and_Applications.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0169.md,current-cycle full text independently read and title-checked from the complete preprint,"Full review; formal definition, four-part taxonomy, 100+ papers, applications, benchmark comparisons, challenges and future directions reviewed; source explicitly non-peer-reviewed",,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis; publication status needs correction
173,From language to action- a review of large language models as autonomous agents and tool users,S3,P2,B,A,1.000,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes_all/S3_P2_096_From_language_to_action_a_review_of_large_language_models_as_autonomous_agents_and_tool_users.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0173.md,current-cycle full text independently read and title-checked from the open-access journal article,"Full review; seven RQs, architecture, tools, reasoning/planning/memory, adaptation, 68-dataset evaluation inventory, gaps and ten future directions reviewed",,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
175,A Survey on the Optimization of Large Language Model-based agents,S3,P2,B,A,1.000,S3/P2/S3_P2_revised_paper_first_detailed_markdown_notes_all/S3_P2_098_A_Survey_on_the_Optimization_of_Large_Language_Model-based_Agents.md,current-cycle full-text remediation replacing templated historical note,notes/papers/0175.md,current-cycle full text independently read and title-checked from the 37-page CSUR article,"Full survey; parameter-driven/free optimization, data/fine-tuning/RL, experience/feedback/tool/retrieval/multi-agent methods, frameworks, datasets, applications and challenges reviewed",,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
176,PlanBench An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,S3,P3,B,Missing,0.437,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0176.md,current-cycle full text extracted and title-checked,50 extracted PDF pages; SHA-256 cb1a34744f5dbd1c35726928dee865d7f719cee8287e121bdd5e83bdf47db825; title similarity 1.0,50,cb1a34744f5dbd1c35726928dee865d7f719cee8287e121bdd5e83bdf47db825,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
181,Knowledge-enhanced Agents for Interactive Text Games,S3,P3,Missing,Missing,0.338,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0181.md,current-cycle full text extracted and title-checked,11 extracted PDF pages; SHA-256 b9ebf6922893a13725b1b049e25e5166bc91f570d000c91250892d1dd2812bec; title similarity 1.0,11,b9ebf6922893a13725b1b049e25e5166bc91f570d000c91250892d1dd2812bec,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
182,Language Models Meet World Models: Embodied Experiences Enhance Language Models,S3,P3,Missing,Missing,0.389,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0182.md,current-cycle full text extracted and title-checked,21 extracted PDF pages; SHA-256 1b6746c0643c8e763e63a6d12c00e51910ba3966ffcd362409a6afa4332303aa; title similarity 1.0,21,1b6746c0643c8e763e63a6d12c00e51910ba3966ffcd362409a6afa4332303aa,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
183,Automatically Correcting Large Language Models: Surveying the Landscape of Diverse Automated Correction Strategies,S3,P3,Missing,Missing,0.310,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0183.md,current-cycle full text extracted and title-checked,23 extracted PDF pages; SHA-256 93bc753e88c8d5cc6c66c6177e61088627fe58b076ece56b4593fbb1842f5974; title similarity 1.0,23,93bc753e88c8d5cc6c66c6177e61088627fe58b076ece56b4593fbb1842f5974,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
186,CRAFT: Customizing LLMs by Creating and Retrieving from Specialized Toolsets,S3,P3,Missing,Missing,0.000,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0186.md,current-cycle full text extracted and title-checked,29 extracted PDF pages; SHA-256 59263fffdc51e21530d9dba1aeeeacefb2b5c4048012a7e385b4f555a362f155; title similarity 0.919,29,59263fffdc51e21530d9dba1aeeeacefb2b5c4048012a7e385b4f555a362f155,0.919,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
187,AdaRefiner: Refining Decisions of Language Models with Adaptive Feedback,S3,P3,Missing,Missing,0.514,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0187.md,current-cycle full text extracted and title-checked,18 extracted PDF pages; SHA-256 7ad4df7e72a369495609d19c4c4fa144530bc34e41ecfc179579b988b97e1ab2; title similarity 1.0,18,7ad4df7e72a369495609d19c4c4fa144530bc34e41ecfc179579b988b97e1ab2,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
188,AlphaZero-Like Tree-Search can Guide Large Language Model Decoding and Training,S3,P3,Missing,Missing,0.402,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0188.md,current-cycle full text extracted and title-checked,30 extracted PDF pages; SHA-256 5786e069ad57801c1322eea384d094d77b1aa396a1a2f22a0c92584ffae64ab8; title similarity 1.0,30,5786e069ad57801c1322eea384d094d77b1aa396a1a2f22a0c92584ffae64ab8,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
189,AutoAgents: A Framework for Automatic Agent Generation,S3,P3,Missing,Missing,0.381,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0189.md,current-cycle full text extracted and title-checked,30 extracted PDF pages; SHA-256 eb28d6d380b88dbdaabaaea10c9e55dac04706f903ccac22830f462f043385f6; title similarity 1.0,30,eb28d6d380b88dbdaabaaea10c9e55dac04706f903ccac22830f462f043385f6,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
190,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,S3,P3,Missing,Missing,0.302,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0190.md,current-cycle full text extracted and title-checked,33 extracted PDF pages; SHA-256 75ba21cf82dc3f4bb7a60062c30a6e69990adc6c21b41459b30d18d30bd20d71; title similarity 1.0,33,75ba21cf82dc3f4bb7a60062c30a6e69990adc6c21b41459b30d18d30bd20d71,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
191,L2MAC: Large Language Model Automatic Computer for Extensive Code Generation,S3,P3,Missing,Missing,0.356,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0191.md,current-cycle full text extracted and title-checked,61 extracted PDF pages; SHA-256 68461c9539f7bfafa76653765a9801d8cfc0d1a2a3021407745acd2d304ef541; title similarity 0.889,61,68461c9539f7bfafa76653765a9801d8cfc0d1a2a3021407745acd2d304ef541,0.889,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
192,Lemur: Harmonizing Natural Language and Code for Language Agents,S3,P3,Missing,Missing,0.380,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0192.md,current-cycle full text extracted and title-checked,21 extracted PDF pages; SHA-256 6ef44a41a956945eaf329a254da0288cb65b632dfa019728e5e40c2ee70d1198; title similarity 0.961,21,6ef44a41a956945eaf329a254da0288cb65b632dfa019728e5e40c2ee70d1198,0.961,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
193,LLaMA-Rider: Spurring Large Language Models to Explore the Open World,S3,P3,Missing,Missing,0.433,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0193.md,current-cycle full text extracted and title-checked,20 extracted PDF pages; SHA-256 01f690bdfe8b23d000700025091fb4e6e5121d1ced8ebe601002b32a96521eb4; title similarity 1.0,20,01f690bdfe8b23d000700025091fb4e6e5121d1ced8ebe601002b32a96521eb4,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
194,Automating the Generation of Prompts for LLM-based Action Choice in PDDL Planning,S3,P3,Missing,Missing,0.313,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0194.md,current-cycle full text extracted and title-checked,25 extracted PDF pages; SHA-256 95bd71f7edf5b1cee25897f38160be9a27413ca453d3b3940ee81a4107f517bf; title similarity 1.0,25,95bd71f7edf5b1cee25897f38160be9a27413ca453d3b3940ee81a4107f517bf,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
196,JARVIS-1: Open-World Multi-Task Agents With Memory-Augmented Multimodal Language Models,S3,P3,C,Missing,0.367,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0196.md,current-cycle full text extracted and title-checked,28 extracted PDF pages; SHA-256 bc288c9a257d78d94b1a12ee7c6b8afd34cf7f89b5c7db53fa4a29244934193c; title similarity 0.891,28,bc288c9a257d78d94b1a12ee7c6b8afd34cf7f89b5c7db53fa4a29244934193c,0.891,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
198,"A Survey on LLM-Based Multi-Agent Systems: Workflow, Infrastructure, and Challenges",S3,P3,Missing,Missing,0.501,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0198.md,current-cycle full text extracted and title-checked,43 extracted PDF pages; SHA-256 c39a7abf36a6df397138177cde5fe7015f120a9670438e91e357c6e1031555ce; title similarity 0.825,43,c39a7abf36a6df397138177cde5fe7015f120a9670438e91e357c6e1031555ce,0.825,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
200,Self-Discover- Large Language Models Self-Compose Reasoning Structures,S3,P3,B,Missing,0.551,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0200.md,current-cycle full text extracted and title-checked,17 extracted PDF pages; SHA-256 a7e7c65754343960fb6eefc10aacc91b1d307f8fd1ceda0ee3db4ca99dddc9b7; title similarity 0.926,17,a7e7c65754343960fb6eefc10aacc91b1d307f8fd1ceda0ee3db4ca99dddc9b7,0.926,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
201,"Position: Towards Unified Alignment Between Agents, Humans, and Environment",S3,P3,Missing,Missing,0.310,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0201.md,current-cycle full text extracted and title-checked,25 extracted PDF pages; SHA-256 219b9f2b86cde10167b72608a98e957b0e7b8a2c24851dc6a667aa2b177a0a5a; title similarity 1.0,25,219b9f2b86cde10167b72608a98e957b0e7b8a2c24851dc6a667aa2b177a0a5a,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
202,A Human-Inspired Reading Agent with Gist Memory of Very Long Contexts,S3,P3,Missing,Missing,0.288,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0202.md,current-cycle full text extracted and title-checked,20 extracted PDF pages; SHA-256 7636aac3845ca4547674f246e6452bf3652d9cfcdbee9fb27e5563d3785216d9; title similarity 1.0,20,7636aac3845ca4547674f246e6452bf3652d9cfcdbee9fb27e5563d3785216d9,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
203,When is Tree Search Useful for LLM Planning? It Depends on the Discriminator,S3,P3,Missing,Missing,0.319,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0203.md,current-cycle full text extracted and title-checked,20 extracted PDF pages; SHA-256 208b787bc0505e3bb55c3e3996aba730211585dd641ea913be16071b3b513a82; title similarity 1.0,20,208b787bc0505e3bb55c3e3996aba730211585dd641ea913be16071b3b513a82,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
204,"WorldCoder, a Model-Based LLM Agent: Building World Models by Writing Code and Interacting with the Environment",S3,P3,Missing,Missing,0.297,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0204.md,current-cycle full text extracted and title-checked,65 extracted PDF pages; SHA-256 582d9e4580cb85a9f84e17c1e8779704f5d7c66f80a1bca169ecd7b7ebdc6a7c; title similarity 1.0,65,582d9e4580cb85a9f84e17c1e8779704f5d7c66f80a1bca169ecd7b7ebdc6a7c,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
207,Can LLM-Augmented Autonomous Agents Cooperate? An Evaluation of Their Cooperative Capabilities Through Melting Pot,S3,P3,Missing,Missing,0.252,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0207.md,current-cycle full text extracted and title-checked,38 extracted PDF pages; SHA-256 8b8a12689505f69034a9340b2c6772a59f780ef5531614c7f3d5debde642ff70; title similarity 1.0,38,8b8a12689505f69034a9340b2c6772a59f780ef5531614c7f3d5debde642ff70,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
208,Language Guided Exploration for RL Agents in Text Environments,S3,P3,Missing,Missing,0.309,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0208.md,current-cycle full text extracted and title-checked,10 extracted PDF pages; SHA-256 84896f68f4e53eafd0b6994636727988edfc2a7daf6a00f7609848dd861bf55e; title similarity 1.0,10,84896f68f4e53eafd0b6994636727988edfc2a7daf6a00f7609848dd861bf55e,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
209,MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,S3,P3,Missing,Missing,0.404,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0209.md,current-cycle full text extracted and title-checked,25 extracted PDF pages; SHA-256 938fe059f320ba1fde357e4b1da02bf4485c2c5d9762996e63c72ebc58077ec2; title similarity 1.0,25,938fe059f320ba1fde357e4b1da02bf4485c2c5d9762996e63c72ebc58077ec2,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
210,Playing NetHack with LLMs: Potential & Limitations as Zero-Shot Agents,S3,P3,Missing,Missing,0.318,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0210.md,current-cycle full text extracted and title-checked,8 extracted PDF pages; SHA-256 0ef9d68618b70d6ab81073d7a0918c2c1c4354e2b6f776aed8cf514456e91594; title similarity 1.0,8,0ef9d68618b70d6ab81073d7a0918c2c1c4354e2b6f776aed8cf514456e91594,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
212,"Toward Self-Improvement of LLMs via Imagination, Searching, and Criticizing",S3,P3,Missing,Missing,0.332,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0212.md,current-cycle full text extracted and title-checked,26 extracted PDF pages; SHA-256 45e5cdbb7d6b5f8e789d239892532e730de8020e39b80ab82ef1ef9d89fc8470; title similarity 1.0,26,45e5cdbb7d6b5f8e789d239892532e730de8020e39b80ab82ef1ef9d89fc8470,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
213,360°REA: Towards Reusable Experience Accumulation with 360° Assessment for Multi-Agent Systems,S3,P3,Missing,Missing,0.349,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0213.md,current-cycle full text extracted and title-checked,14 extracted PDF pages; SHA-256 fcfcdf21cd765685a2d24c1669c03c9a8db79b29b571e58c1009084373569cc9; title similarity 0.938,14,fcfcdf21cd765685a2d24c1669c03c9a8db79b29b571e58c1009084373569cc9,0.938,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
214,A Survey on Large Language Model-Based Game Agents,S3,P3,A,C,0.840,S3/S3_deep_venue_status_verification_report.md,current-cycle full-text remediation,notes/papers/0214.md,current-cycle full text extracted and title-checked,44 extracted PDF pages; SHA-256 fcce6f4fe07984ea97180f0ba47dffb7b7eaa41f9c8f3dc65147afeee84aad68; title similarity 1.0,44,fcce6f4fe07984ea97180f0ba47dffb7b7eaa41f9c8f3dc65147afeee84aad68,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
215,AgentKit: Structured LLM Reasoning with Dynamic Graphs,S3,P3,Missing,Missing,0.307,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0215.md,current-cycle full text extracted and title-checked,24 extracted PDF pages; SHA-256 029ebd4f7d8cec7b611a97b640ae33f2eafd6b9294f712bf6e2dc10cd3b2f351; title similarity 1.0,24,029ebd4f7d8cec7b611a97b640ae33f2eafd6b9294f712bf6e2dc10cd3b2f351,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
216,Agent Planning with World Knowledge Model,S3,P3,Missing,Missing,0.550,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0216.md,current-cycle full text extracted and title-checked,29 extracted PDF pages; SHA-256 48242071fb3ebc96888fe9e76b427192e2c80c9e1dbb591bb42b9e44d840d306; title similarity 1.0,29,48242071fb3ebc96888fe9e76b427192e2c80c9e1dbb591bb42b9e44d840d306,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
219,Ask-before-Plan: Proactive Language Agents for Real-World Planning,S3,P3,Missing,Missing,0.496,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0219.md,current-cycle full text extracted and title-checked,28 extracted PDF pages; SHA-256 0e81e40ddc2d855416fc7bf0d0550523696c47442627cb087d9eec2e8cf0c54e; title similarity 1.0,28,0e81e40ddc2d855416fc7bf0d0550523696c47442627cb087d9eec2e8cf0c54e,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
220,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use (Including RAG), Planning, and Feedback Learning",S3,P3,Missing,Missing,0.322,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0220.md,current-cycle full text extracted and title-checked,20 extracted PDF pages; SHA-256 2e248c36bd6388d6e21820cfa557c66b5e6e632e32f3930d5c3efcfebe7bc9f0; title similarity 1.0,20,2e248c36bd6388d6e21820cfa557c66b5e6e632e32f3930d5c3efcfebe7bc9f0,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
221,Chain of Agents: Large Language Models Collaborating on Long-Context Tasks,S3,P3,Missing,Missing,0.465,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0221.md,current-cycle full text extracted and title-checked,19 extracted PDF pages; SHA-256 7108f184812d5a4e8b693068cfd5b4bd6b112ab659fc80a26523a6c3877a7e48; title similarity 1.0,19,7108f184812d5a4e8b693068cfd5b4bd6b112ab659fc80a26523a6c3877a7e48,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
222,FlowBench: Revisiting and Benchmarking Workflow-Guided Planning for LLM-based Agents,S3,P3,Missing,Missing,0.455,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0222.md,current-cycle full text extracted and title-checked,18 extracted PDF pages; SHA-256 7411067796c38ce96defee41720d7df1692d134d7d9fddf5bff84b4a4d3d7a45; title similarity 1.0,18,7411067796c38ce96defee41720d7df1692d134d7d9fddf5bff84b4a4d3d7a45,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
223,AriGraph: Learning Knowledge Graph World Models with Episodic Memory for LLM Agents,S3,P3,Missing,Missing,0.382,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0223.md,current-cycle full text extracted and title-checked,21 extracted PDF pages; SHA-256 983ae287d1fdc3f54451b4064d228655056f6f1c1575d99a8a79fd66e6551754; title similarity 1.0,21,983ae287d1fdc3f54451b4064d228655056f6f1c1575d99a8a79fd66e6551754,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
230,Planning in the Dark: LLM-Symbolic Planning Pipeline without Experts,S3,P3,Missing,Missing,0.308,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0230.md,current-cycle full text extracted and title-checked,19 extracted PDF pages; SHA-256 ceb88b32d574a6b1f8305cfd05a371808574ba1bea191b3dc0638d150b3d1366; title similarity 1.0,19,ceb88b32d574a6b1f8305cfd05a371808574ba1bea191b3dc0638d150b3d1366,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
231,PRACT: Optimizing Principled Reasoning and Acting of LLM Agent,S3,P3,Missing,Missing,0.381,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0231.md,current-cycle full text extracted and title-checked,5 extracted PDF pages; SHA-256 f2d7df9673d23dbdcf8526d64aa440efb91f37b1c38ef87dbf2160680ff97415; title similarity 1.0,5,f2d7df9673d23dbdcf8526d64aa440efb91f37b1c38ef87dbf2160680ff97415,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
232,Steering Large Language Models between Code Execution and Textual Reasoning,S3,P3,B,Missing,0.441,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0232.md,current-cycle full text extracted and title-checked,32 extracted PDF pages; SHA-256 721d66958ede9ede961db529ffaa7eef6e365f97e9eeb0f8b6e8b57cda122ab8; title similarity 0.851,32,721d66958ede9ede961db529ffaa7eef6e365f97e9eeb0f8b6e8b57cda122ab8,0.851,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
233,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,S3,P3,Missing,Missing,0.329,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0233.md,current-cycle full text extracted and title-checked,24 extracted PDF pages; SHA-256 441703e51f293a2050bebd2ac5eed2cfee01222611c01c1d98021e0ff90837ad; title similarity 0.926,24,441703e51f293a2050bebd2ac5eed2cfee01222611c01c1d98021e0ff90837ad,0.926,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
234,"AgentBank: Towards Generalized LLM Agents via Fine-Tuning on 50,000+ Interaction Trajectories",S3,P3,Missing,Missing,0.338,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0234.md,current-cycle full text extracted and title-checked,24 extracted PDF pages; SHA-256 178ec9f20930eed5c93f937ca7a241d3ca09edc7faceb398aeba2861af37eba2; title similarity 0.865,24,178ec9f20930eed5c93f937ca7a241d3ca09edc7faceb398aeba2861af37eba2,0.865,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
237,OPTIMA: Optimizing Effectiveness and Efficiency for LLM-Based Multi-Agent Systems,S3,P3,Missing,Missing,0.508,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0237.md,current-cycle full text extracted and title-checked,24 extracted PDF pages; SHA-256 6f136b9b97ea7d57b9b23f952df7b0a7e994de5ba064aa35ea0415388c9120ac; title similarity 0.883,24,6f136b9b97ea7d57b9b23f952df7b0a7e994de5ba064aa35ea0415388c9120ac,0.883,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
238,Proactive Agent: Shifting LLM Agents from Reactive Responses to Active Assistance,S3,P3,Missing,Missing,0.317,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0238.md,current-cycle full text extracted and title-checked,21 extracted PDF pages; SHA-256 94790a996623e6948da9c847b74ba9a55998f2fdd1748b0a513270c32ce07137; title similarity 0.969,21,94790a996623e6948da9c847b74ba9a55998f2fdd1748b0a513270c32ce07137,0.969,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
239,TaskBench: Benchmarking Large Language Models for Task Automation,S3,P3,Missing,Missing,0.530,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0239.md,current-cycle full text extracted and title-checked,35 extracted PDF pages; SHA-256 675d35702f56c64d9c5d957b103da194372d4b0a9c9608187e851731b430f814; title similarity 1.0,35,675d35702f56c64d9c5d957b103da194372d4b0a9c9608187e851731b430f814,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
242,EscapeBench: Towards Advancing Creative Intelligence of Language Model Agents,S3,P3,Missing,Missing,0.468,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0242.md,current-cycle full text extracted and title-checked,23 extracted PDF pages; SHA-256 1a146f856b9df861eda75620124436bd8c56786f9f8e156155af1e634bfa490c; title similarity 1.0,23,1a146f856b9df861eda75620124436bd8c56786f9f8e156155af1e634bfa490c,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
244,The Lighthouse of Language: Enhancing LLM Agents via Critique-Guided Improvement,S3,P3,Missing,Missing,0.321,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0244.md,current-cycle full text extracted and title-checked,25 extracted PDF pages; SHA-256 111fcd49e453cf6be4ccffed2b3d3ae45549933b0925fd38863c9a1a495545d2; title similarity 1.0,25,111fcd49e453cf6be4ccffed2b3d3ae45549933b0925fd38863c9a1a495545d2,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
247,LLMs are Greedy Agents: Effects of RL Fine-tuning on Decision-Making Abilities,S3,P3,Missing,Missing,0.275,no reliable paper-specific source note,current-cycle full-text remediation,notes/papers/0247.md,current-cycle full text extracted and title-checked,32 extracted PDF pages; SHA-256 7f995d0b8909a604df3b07992aa5ba906a749aac7bfc872bda00e156bb3a2705; title similarity 1.0,32,7f995d0b8909a604df3b07992aa5ba906a749aac7bfc872bda00e156bb3a2705,1.0,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
249,"Meta-Agent-Workflow: Streamlining Tool Usage in LLMs through Workflow Construction, Retrieval, and Refinement",S3,P3,Missing,Missing,0.292,no reliable paper-specific source note,current-cycle access-exception note,notes/papers/0249.md,blocked: full text unavailable,Publisher/metadata checks only; not used for claim-level synthesis,,,,"Complete structured reading focused on relevance, method, results, contributions, and limitations",blocked pending full text
262,Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,S3,P3,Missing,B,1.000,S3/P3/S3_P3_deep_notes_merged.md,existing paper-specific note preserved after title and coverage audit,notes/papers/0262.md,current-cycle full text extracted and title-checked,32 extracted PDF pages; SHA-256 51050ced82df75c143b151262d5af8763916968ca50374bd8ff778f40552b0ad; title similarity 0.806,32,51050ced82df75c143b151262d5af8763916968ca50374bd8ff778f40552b0ad,0.806,"Complete structured reading focused on relevance, method, results, contributions, and limitations",paper-specific note ready for synthesis
