record_id,title,priority,section,status_category,in_N_POOL,in_N_SYNTH,exclusion_reason
521,Agent Workflow Memory,P1,S5.4,Archival published,yes,yes,
524,"OpenWebVoyager- Building Multimodal Web Agents via Iterative Real-World Exploration, Feedback and Optimization",P1,S5.4,Archival published,yes,yes,
527,AdaptAgent Adapting Multimodal Web Agents with Few-Shot Learning from Human Demonstrations,P1,S5.4,Archival published,yes,yes,
529,AgentTrek Agent Trajectory Synthesis via Guiding Replay with Web Tutorials,P1,S5.4,Archival published,yes,yes,
530,AgentRefine Enhancing Agent Generalization through Refinement Tuning,P1,S5.4,Archival published,yes,yes,
533,WebEvolver Enhancing Web Agent Self-Improvement with Coevolving World Model,P1,S5.4,Archival published,yes,yes,
534,Explorer- Scaling Exploration-driven Web Trajectory Synthesis for Multimodal Web Agents,P1,S5.4,Archival published,yes,yes,
536,Web-Shepherd Advancing PRMs for Reinforcing Web Agents,P1,S5.4,Archival published,yes,yes,
537,WorkForceAgent-R1 Incentivizing Reasoning Capability in LLM-based Web Agents via Reinforcement Learning,P1,S5.4,Archival published,yes,yes,
538,Go-Browse- Training Web Agents with Structured Exploration,P1,S5.4,Archival published,yes,yes,
539,TGPO- TREE-GUIDED PREFERENCE OPTIMIZATION FOR ROBUST WEB AGENT REINFORCEMENT LEARNING,P1,S5.4,Archival published,yes,yes,
541,WebAgent-R1- Training Web Agents via End-to-End Multi-Turn Reinforcement Learning,P1,S5.4,Archival published,yes,yes,
543,TongUI- Internet-Scale Trajectories from Multimodal Web Tutorials for Generalized GUI Agents,P1,S5.4,Archival published,yes,yes,
546,How to Train Your LLM Web Agent- A Statistical Diagnosis,P1,S5.4,Archival published,yes,yes,
548,WebGym- Scaling Training Environments for Visual Web Agents with Realistic Tasks,P1,S5.4,Archival published,yes,yes,
552,SynthAgent- Adapting Web Agents with Synthetic Supervision,P1,S5.4,Archival published,yes,yes,
554,WebFactory- Automated Compression of Foundational Language Intelligence into Grounded Web Agents,P1,S5.4,Archival published,yes,yes,
556,On the Multi-turn Instruction Following for Conversational Web Agents,P2,S5.4,Archival published,yes,yes,
558,AutoGuide: Automated Generation and Selection of Context-Aware Guidelines for Large Language Model Agents,P2,S5.4,Archival published,yes,yes,
559,Trial and Error: Exploration-Based Trajectory Optimization for LLM Agents,P2,S5.4,Archival published,yes,yes,
560,AutoManual: Constructing Instruction Manuals by LLM Agents via Interactive Environmental Learning,P2,S5.4,Archival published,yes,yes,
561,Navigating WebAI: Training Agents to Complete Web Tasks with Large Language Models and Reinforcement Learning,P2,S5.4,Archival published,yes,yes,
562,AgentGym: Evaluating and Training Large Language Model-based Agents across Diverse Environments,P2,S5.4,Archival published,yes,yes,
563,Re-ReST: Reflection-Reinforced Self-Training for Language Agents,P2,S5.4,Archival published,yes,yes,
564,Watch Every Step LLM Agent Learning via Iterative Step-Level Process Refinement,P2,S5.4,Archival published,yes,yes,
565,Auto-Intent: Automated Intent Discovery and Self-Exploration for Large Language Model Web Agents,P2,S5.4,Archival published,yes,yes,
566,Synatra: Turning Indirect Knowledge into Direct Demonstrations for Digital Agents at Scale,P2,S5.4,Archival published,yes,yes,
568,OS-Genesis Automating GUI Agent Trajectory Construction via Reverse Task Synthesis,P2,S5.4,Archival published,yes,yes,
569,Learn-by-interact- A Data-Centric Framework for Self-Adaptive Agents in Realistic Environments,P2,S5.4,Archival published,yes,yes,
570,Advancing Language Multi-Agent Learning with Credit Re-Assignment for Interactive Environment Generalization,P2,S5.4,Archival published,yes,yes,
571,AgentRM Enhancing Agent Generalization with Reward Modeling,P2,S5.4,Archival published,yes,yes,
575,Large Language Models Empowered Personalized Web Agents,P2,S5.4,Archival published,yes,yes,
576,DeepResearcher- Scaling Deep Research via Reinforcement Learning in Real-world Environments,P2,S5.4,Archival published,yes,yes,
577,AndroidGen Building an Android Language Agent under Data Scarcity,P2,S5.4,Archival published,yes,yes,
578,Breaking the Data Barrier -- Building GUI Agents Through Task Generalization,P2,S5.4,Archival published,yes,yes,
580,Efficient Agent Training for Computer Use,P2,S5.4,Archival published,yes,yes,
581,EvolveSearch An Iterative Self-Evolving Search Agent,P2,S5.4,Archival published,yes,yes,
582,Group-in-Group Policy Optimization for LLM Agent Training,P2,S5.4,Archival published,yes,yes,
584,MobileIPL Enhancing Mobile Agents Thinking Process via Iterative Preference Learning,P2,S5.4,Archival published,yes,yes,
586,Scalable Video-to-Dataset Generation for Cross-Platform Mobile Agents,P2,S5.4,Archival published,yes,yes,
587,Self-Generated In-Context Examples Improve LLM Agents for Sequential Decision-Making Tasks,P2,S5.4,Archival accepted,yes,yes,
589,Structured Agent Distillation for Large Language Model,P2,S5.4,Archival published,yes,yes,
590,Towards Efficient Online Tuning of VLM Agents via Counterfactual Soft Reinforcement Learning,P2,S5.4,Archival published,yes,yes,
593,UI-Genie A Self-Improving Approach for Iteratively Boosting MLLM-based Mobile GUI Agents,P2,S5.4,Archival accepted,yes,yes,
594,WebDancer Towards Autonomous Information Seeking Agency,P2,S5.4,Archival published,yes,yes,
595,AgentSynth- Scalable Task Generation for Generalist Computer-Use Agents,P2,S5.4,Archival published,yes,yes,
599,AgentCPM-GUI Building Mobile-Use Agents with Reinforcement Fine-Tuning,P2,S5.4,Archival accepted,yes,yes,
601,Contextual Experience Replay for Self-Improvement of Language Agents,P2,S5.4,Archival published,yes,yes,
604,WebSynthesis: World Model-Guided Monte Carlo Tree Search for Efficient WebAgent Trajectory Synthesis,P2,S5.4,Archival published,yes,yes,
612,"Agent Data Protocol- Unifying Datasets for Diverse, Effective Fine-tuning of LLM Agents",P2,S5.4,Archival published,yes,yes,
615,"Don’t Just Fine-tune the Agent, Tune the Environment",P2,S5.4,Archival published,yes,yes,
619,Search Self-play- Pushing the Frontier of Agent Capability without Supervision,P2,S5.4,Archival published,yes,yes,
622,AgentPRM- Process Reward Models for LLM Agents via Step-Wise Promise and Progress,P2,S5.4,Archival published,yes,yes,
631,Digi-Q- Learning VLM Q-Value Functions for Training Device-Control Agents,P2,S5.4,Archival published,yes,yes,
634,ColorBrowserAgent- Complex Long-Horizon Browser Agent with Adaptive Knowledge Evolution,P2,S5.4,Archival published,yes,yes,
639,WAREX- WEB AGENT RELIABILITY EVALUATION ON EXISTING BENCHMARKS,P1,S5.5,Archival published,yes,yes,
640,An Illusion of Progress - Assessing the Current State of Web Agents,P1,S5.5,Archival published,yes,yes,
641,Why Do LLM-based Web Agents Fail- A Hierarchical Planning Perspective,P1,S5.5,Archival published,yes,yes,
643,Autonomous Evaluation and Refinement of Digital Agents,P2,S5.5,Archival published,yes,yes,
645,Why Do Multi-Agent LLM Systems Fail,P2,S5.5,Archival published,yes,yes,
646,Are Autonomous Web Agents Good Testers,P2,S5.5,Archival published,yes,yes,
647,GEM Gaussian Embedding Modeling for Out-of-Distribution Detection in GUI Agents,P2,S5.5,Archival published,yes,yes,
648,Understanding GUI Agent Localization Biases through Logit Sharpness,P2,S5.5,Archival published,yes,yes,
650,Just Do It!- Computer-Use Agents Exhibit Blind Goal-Directedness,P2,S5.5,Archival published,yes,yes,
657,Reflection-Bench: Evaluating Epistemic Agency in Large Language Models,P3,S5.5,Archival published,yes,yes,
659,Detecting Silent Failures in Multi-Agentic AI Trajectories,P3,S5.5,Archival published,yes,yes,
661,AutoScraper- A Progressive Understanding Web Agent for Web Scraper Generation,P1,S6,Archival published,yes,yes,
663,INFOGEN- An Agent-Based Framework for Web Information Aggregation,P1,S6,Archival published,yes,yes,
666,"A Systematic Review of Web Scraping- Techniques, LLM-Enhanced Approaches, Performance Metrics, and Legal-Ethical Issues",P1,S6,Archival published,yes,yes,
667,SCRIBES- Web-Scale Script-Based Semi-Structured Data Extraction with Reinforcement Learning,P1,S6,Archival published,yes,yes,
671,"Automating Web Data Collection- Challenges, Solutions, and Python-Based Strategies for Effective Web Scraping",P2,S6,Archival published,yes,yes,
673,ProductAgent Benchmarking Conversational Product Search Agent with Asking Clarification Questions,P2,S6,Archival published,yes,yes,
675,OneKE A Dockerized Schema-Guided LLM Agent-based Knowledge Extraction System,P2,S6,Archival published,yes,yes,
684,Reagent: Converting Ordinary Webpages into Interactive Software Agents,P3,S6,Archival published,yes,yes,
685,"DataAgent: Evaluating Large Language Models' Ability to Answer Zero-Shot, Natural Language Queries",P3,S6,Archival published,yes,yes,
687,AutoDCWorkflow: LLM-based Data Cleaning Workflow Auto-Generation and Benchmark,P3,S6,Archival published,yes,yes,
688,DataLab: A Unified Platform for LLM-Powered Business Intelligence,P3,S6,Archival published,yes,yes,
690,AutoPrep: Natural Language Question-Aware Data Preparation with a Multi-Agent Framework,P3,S6,Archival published,yes,yes,
692,WiNELL: Wikipedia Never-Ending Updating with LLM Agents,P3,S6,Archival published,yes,yes,
695,InjecAgent Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,P1,S7,Archival published,yes,yes,
697,AGENTPOISON- Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases,P1,S7,Archival published,yes,yes,
699,AdvAgent Controllable Blackbox Red-teaming on Web Agents,P1,S7,Archival published,yes,yes,
700,Attacking Vision-Language Computer Agents via Pop-ups,P1,S7,Archival published,yes,yes,
702,EIA- Environmental Injection Attack on Generalist Web Agents for Privacy Leakage,P1,S7,Archival published,yes,yes,
703,SafeArena Evaluating the Safety of Autonomous Web Agents,P1,S7,Archival published,yes,yes,
704,sudo rm -rf agentic_security,P1,S7,Archival published,yes,yes,
708,RedTeamCUA Realistic Adversarial Testing of Computer-Use Agents in Hybrid Web-OS Environments,P1,S7,Archival published,yes,yes,
709,WebInject Prompt Injection Attack to Web Agents,P1,S7,Archival published,yes,yes,
713,VisualTrap A Stealthy Backdoor Attack on GUI Agents via Visual Grounding Manipulation,P1,S7,Archival published,yes,yes,
716,HackWorld- EVALUATING COMPUTER-USE AGENTS ON EXPLOITING WEB APPLICATION VULNERABILITIES,P1,S7,Archival published,yes,yes,
717,Investigating the Impact of Dark Patterns on LLM-Based Web Agents,P1,S7,Archival published,yes,yes,
718,WebCloak- Characterizing and Mitigating Threats from LLM-Driven Web Agents as Intelligent Scrapers,P1,S7,Archival published,yes,yes,
728,Identifying the Risks of LM Agents with an LM-Emulated Sandbox,P2,S7,Archival published,yes,yes,
731,R-Judge: Benchmarking Safety Risk Awareness for LLM Agents,P2,S7,Archival published,yes,yes,
733,Agent Smith A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,P2,S7,Archival published,yes,yes,
734,ToolSword: Unveiling Safety Issues of Large Language Models in Tool Learning Across Three Stages,P2,S7,Archival published,yes,yes,
736,AirGapAgent: Protecting Privacy-Conscious Conversational Agents,P2,S7,Archival published,yes,yes,
737,Visibility into AI Agents,P2,S7,Archival published,yes,yes,
738,GuardAgent: Safeguard LLM Agents via Knowledge-Enabled Reasoning,P2,S7,Archival published,yes,yes,
741,The Emerged Security and Privacy of LLM Agent: A Survey with Case Studies,P2,S7,Archival published,yes,yes,
744,Agent Security Bench (ASB)- Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,P2,S7,Archival published,yes,yes,
745,HAICOSYSTEM- An Ecosystem for Sandboxing Safety Risks in Human-AI Interactions,P2,S7,Archival published,yes,yes,
746,Multimodal Situational Safety,P2,S7,Archival published,yes,yes,
747,Watch Out for Your Agents! Investigating Backdoor Threats to LLM-Based Agents,P2,S7,Archival published,yes,yes,
748,AgentHarm A Benchmark for Measuring Harmfulness of LLM Agents,P2,S7,Archival published,yes,yes,
750,MobileSafetyBench Evaluating Safety of Autonomous Agents in Mobile Device Control,P2,S7,Archival published,yes,yes,
751,Navigating the Risks: A Survey of Security and Privacy Threats in LLM-Based Agents,P2,S7,Archival published,yes,yes,
757,Evaluating the Robustness of Multimodal Agents Against Active Environmental Injection Attacks,P2,S7,Archival published,yes,yes,
759,A Practical Memory Injection Attack against LLM Agents,P2,S7,Preprint/technical report,no,no,not publication-eligible after final adjudication
761,Towards Trustworthy GUI Agents- A Survey,P2,S7,Preprint/technical report,no,no,not publication-eligible after final adjudication
762,AgentSpec Customizable Runtime Enforcement for Safe and Reliable LLM Agents,P2,S7,Archival published,yes,yes,
764,VeriSafe Agent Safeguarding Mobile GUI Agent via Logic-based Action Verification,P2,S7,Archival published,yes,yes,
770,Hidden Ghost Hand Unveiling Backdoor Vulnerabilities in MLLM-Powered Mobile GUI Agents,P2,S7,Archival published,yes,yes,
771,IP Leakage Attacks Targeting LLM-Based Multi-Agent Systems,P2,S7,Preprint/technical report,no,no,not publication-eligible after final adjudication
772,Tool Preferences in Agentic LLMs are Unreliable,P2,S7,Archival published,yes,yes,
773,AgentAuditor- Human-Level Safety and Security Evaluation for LLM Agents,P2,S7,Archival published,yes,yes,
774,From Prompt Injections to Protocol Exploits- Threats in LLM-Powered AI Agents Workflows,P2,S7,Archival published,yes,yes,
777,Demonstrations of Integrity Attacks in Multi-Agent Systems,P2,S7,Preprint/technical report,no,no,not publication-eligible after final adjudication
778,Effective Red-Teaming of Policy-Adherent Agents,P2,S7,Archival published,yes,yes,
779,Simple Prompt Injection Attacks Can Leak Personal Data Observed by LLM Agents During Task Execution,P2,S7,Preprint/technical report,no,no,not publication-eligible after final adjudication
780,Reliable Weak-to-Strong Monitoring of LLM Agents,P2,S7,Archival published,yes,yes,
782,"Model Context Protocol -MCP- Landscape, Security Threats, and Future Research Directions",P2,S7,Archival published,yes,yes,
783,AprielGuard,P2,S7,Preprint/technical report,no,no,not publication-eligible after final adjudication
784,LLM Agents for Automated Web Vulnerability Reproduction- Are We There Yet,P2,S7,Preprint/technical report,no,no,not publication-eligible after final adjudication
785,Web Fraud Attacks Against LLM-Driven Multi-Agent Systems,P2,S7,Archival published,yes,yes,
786,SMCP- Secure Model Context Protocol,P2,S7,Preprint/technical report,no,no,not publication-eligible after final adjudication
787,MCP SECURITY BENCH (MSB)- BENCHMARKING ATTACKS AGAINST MODEL CONTEXT PROTOCOL IN LLM AGENTS,P2,S7,Archival published,yes,yes,
788,ADAM- A Systematic Data Extraction Attack on Agent Memory via Adaptive Querying,P2,S7,Preprint/technical report,no,no,not publication-eligible after final adjudication
789,SnapGuard- Lightweight Prompt Injection Detection for Screenshot-Based Web Agents,P2,S7,Preprint/technical report,no,no,not publication-eligible after final adjudication
790,Emergent and Predictable Memorization in Large Language Models,P3,S7,Archival published,yes,yes,
791,Foundational Challenges in Assuring Alignment and Safety of Large Language Models,P3,S7,Archival published,yes,yes,
794,"TRiSM for Agentic AI: A review of Trust, Risk, and Security Management in LLM-based Agentic Multi-Agent Systems",P3,S7,Archival published,yes,yes,
797,Generalizability of Large Language Model-Based Agents- A comprehensive survey,P1,S8,Archival published,yes,yes,
799,CowPilot A Framework for Autonomous and Human-Agent Collaborative Web Navigation,P2,S8,Archival published,yes,yes,
801,"Agent A/B- Automated and Scalable A/B Testing on Live Websites with Interactive LLM Agents [MERGED: consolidates former duplicate row #802, ""AgentAB"" title variant — confirmed same paper]",P2,S8,Archival published,yes,yes,
811,The Behavioral Fabric of LLM-Powered GUI Agents- HumanValues and Interaction Outcomes,P2,S8,Archival published,yes,yes,
