record_id,title,register_status,register_venue,register_identifier,found_title,found_venue,found_type,found_year,found_doi,openalex_id,title_match,VERDICT,notes
124,KnowAgent Knowledge-Augmented Planning for LLM-Based Agents,Preprint/technical report,arXiv / preprint,,KnowAgent: Knowledge-Augmented Planning for LLM-Based Agents,Findings of the Association for Computational Linguistics: NAACL 2025,proceedings-article,2025,10.18653/v1/2025.findings-naacl.205,,1.0,UPGRADE,register says 'Preprint/technical report' but external source shows published in 'Findings of the Association for Computational Linguistics: NAACL 2025'
125,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,Archival published,"Proceedings of the AAAI Conference on Artificial Intelligence, volume 38, issue 16, pages 17682–17690",https://doi.org/10.1609/aaai.v38i16.29720,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,Proceedings of the AAAI Conference on Artificial Intelligence,journal-article,2024,10.1609/aaai.v38i16.29720,,1.0,OK,
126,Large Language Model based Multi-Agents - A Survey of Progress and Challenges,Preprint/technical report,arXiv / survey; uploaded duplicate,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
127,THE LANDSCAPE OF EMERGING AI AGENT ARCHITECTURES,Preprint/technical report,arXiv (tech report),2404.11584,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
128,A Survey on the Memory Mechanism of Large Language Model based Agents,Preprint/technical report,arXiv / survey,,A Survey on the Memory Mechanism of Large Language Model-based Agents,ACM Transactions on Information Systems,journal-article,2025,10.1145/3748302,,1.0,UPGRADE,register says 'Preprint/technical report' but external source shows published in 'ACM Transactions on Information Systems'
129,The Landscape of Emerging AI Agent Architectures for Reasoning Planning and Tool Calling A Survey,Preprint/technical report,arXiv / survey; uploaded duplicate,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
130,Agent Design Pattern Catalogue A Collection of Architectural Patterns for Foundation Model based Agents,Preprint/technical report,arXiv / preprint,,Agent Design Pattern Catalogue: A Collection of Architectural Patterns for Foundation Model Based Agents,,posted-content,2024,10.2139/ssrn.4922194,,1.0,OK,both treat it as preprint
131,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,Archival published,Advances in Neural Information Processing Systems 37 (NeurIPS 2024),https://proceedings.neurips.cc/paper_files/paper/2024/hash/5a7c947568c1b11d7d4a2c5b9b3f9e7f-Abstract-Conference.html,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-1601,,1.0,OK,
132,AvaTaR: Optimizing LLM Agents for Tool Usage via Contrastive Reasoning,Preprint/technical report,arXiv / preprint,,AvaTaR: Optimizing LLM Agents for Tool Usage via Contrastive Reasoning,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-0817,,1.0,UPGRADE,register says 'Preprint/technical report' but external source shows published in 'Advances in Neural Information Processing Systems 37'
133,Tool Learning with Large Language Models: A Survey,Preprint/technical report,arXiv / survey,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
134,Mobile-Agent-v2 Mobile Device Operation Assistant with Effective Navigation via Multi-Agent Collaboration,Preprint/technical report,arXiv / preprint,,Mobile-Agent-v2: Mobile Device Operation Assistant with Effective Navigation via Multi-Agent Collaboration,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-0088,,1.0,UPGRADE,register says 'Preprint/technical report' but external source shows published in 'Advances in Neural Information Processing Systems 37'
135,AppWorld A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,Unconfirmed,ACL 2024 / benchmark paper likely; verify before final citation,,AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2024,10.18653/v1/2024.acl-long.850,,1.0,UPGRADE,register says 'Unconfirmed' but external source shows published in 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)'
136,OpenHands An Open Platform for AI Software Developers as Generalist Agents,Preprint/technical report,arXiv / software platform paper,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
137,Recursive Introspection Teaching Language Model Agents How to Self-Improve,Preprint/technical report,arXiv / preprint,,Recursive Introspection: Teaching Language Model Agents How to Self-Improve,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-1754,,1.0,UPGRADE,register says 'Preprint/technical report' but external source shows published in 'Advances in Neural Information Processing Systems 37'
138,Automated Design of Agentic Systems,Preprint/technical report,arXiv / preprint,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
139,Can We Rely on LLM Agents to Draft Long-Horizon Plans: Let’s Take TravelPlanner as an Example,Preprint/technical report,arXiv / preprint,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
140,A Survey on Complex Tasks for Goal-Directed Interactive Agents,Preprint/technical report,arXiv / survey,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
141,xLAM A Family of Large Action Models to Empower AI Agent Systems,Preprint/technical report,arXiv / Salesforce technical report,,xLAM: A Family of Large Action Models to Empower AI Agent Systems,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),proceedings-article,2025,10.18653/v1/2025.naacl-long.578,,1.0,UPGRADE,register says 'Preprint/technical report' but external source shows published in 'Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)'
142,Magentic-One: A Generalist Multi-Agent System for Solving Complex Tasks,Preprint/technical report,arXiv / Microsoft technical report,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
143,Generalist Virtual Agents: A Survey on Autonomous Agents Across Digital Platforms,Preprint/technical report,arXiv / survey,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
144,Large Action Models: From Inception to Implementation,Preprint/technical report,arXiv / survey,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
145,Zep A Temporal Knowledge Graph Architecture for Agent Memory,Preprint/technical report,arXiv / technical report,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
146,Agentic Reasoning: Reasoning LLMs with Tools for the Deep Research,Preprint/technical report,arXiv / preprint,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
147,PlanGenLLMs: A Modern Survey of LLM Planning Capabilities,Archival published,Proceedings of ACL (Long Papers),https://doi.org/10.18653/v1/2025.acl-long.958,PlanGenLLMs: A Modern Survey of LLM Planning Capabilities,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2025,10.18653/v1/2025.acl-long.958,,1.0,VENUE_MISMATCH,register venue 'Proceedings of ACL (Long Papers)' vs external 'Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)'
148,Position: Episodic Memory is the Missing Piece for Long-Term LLM Agents,Preprint/technical report,arXiv preprint arXiv:2502.06975,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
149,"Agentic Large Language Models, a survey",Preprint/technical report,arXiv / survey,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
150,API Agents vs. GUI Agents: Divergence and Convergence,Preprint/technical report,arXiv / preprint,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
151,Advances and Challenges in Foundation Agents From Brain-Inspired Intelligence to Evolutionary_ Collaborativ_ and Safe Systems,Preprint/technical report,"arXiv (survey/""book"")",2504.01990,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
152,Advances and Challenges in Foundation Agents,Preprint/technical report,arXiv book/survey; uploaded duplicate,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
153,Agentic Reasoning and Tool Integration for LLMs via Reinforcement Learning,Preprint/technical report,arXiv / preprint,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
154,UFO2: The Desktop AgentOS,Preprint/technical report,arXiv / Microsoft technical report,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
155,A Survey on Large Language Model based Human-Agent Systems,Preprint/technical report,arXiv / survey,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
156,LLM-Based Human-Agent Collaboration and Interaction Systems A Survey,Preprint/technical report,arXiv / survey; overlaps with previous human-agent survey,,LLM-Based Human-Agent Collaboration and Interaction Systems: A Survey,,posted-content,2025,10.36227/techrxiv.174612962.26131807/v4,,1.0,OK,both treat it as preprint
157,ReflAct World-Grounded Decision Making in LLM Agents via Goal-State Reflection,Archival published,Proceedings of EMNLP,arXiv:2505.15182,ReflAct: World-Grounded Decision Making in LLM Agents via Goal-State Reflection,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,proceedings-article,2025,10.18653/v1/2025.emnlp-main.1697,,1.0,VENUE_MISMATCH,register venue 'Proceedings of EMNLP' vs external 'Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing'
158,Deep Research Agents: A Systematic Examination And Roadmap,Preprint/technical report,arXiv / survey,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
159,MMSearch-R1: Incentivizing LMMs to Search,Preprint/technical report,arXiv / preprint,,MMSearch-R1: Incentivizing LMMs to Search,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2026,10.18653/v1/2026.acl-long.114,,1.0,UPGRADE,register says 'Preprint/technical report' but external source shows published in 'Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)'
160,Doc2Agent Scalable Generation of Tool-Using Agents from API Documentation,Preprint/technical report,arXiv / preprint,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
161,Evolutionary Perspectives on the Evaluation of LLM-Based AI Agents A Comprehensive Survey,Preprint/technical report,arXiv / survey,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
162,OS Agents: A Survey on MLLM-based Agents for General Computing Devices Use,Archival published,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics,arXiv:2412.04453,OS Agents: A Survey on MLLM-Based Agents for General Computing Devices Use,,posted-content,2024,10.20944/preprints202412.2294.v1,,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
163,Universal Deep Research: Bring Your Own Model and Strategy,Preprint/technical report,arXiv / NVIDIA technical report,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
164,ACON: Optimizing Context Compression for Long-horizon LLM Agents,Preprint/technical report,arXiv / preprint,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
165,Beyond Pipelines: A Survey of the Paradigm Shift toward Model-Native Agentic AI,Preprint/technical report,arXiv / survey with journal-style template,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
166,Experience-Driven Exploration for Efficient API-Free AI Agents,Preprint/technical report,arXiv / preprint,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
167,Memory as Action: Autonomous Context Curation for Long-Horizon Agentic Tasks,Preprint/technical report,arXiv / preprint,,Memory as Action: Autonomous Context Curation for Long-Horizon Agentic Tasks,Findings of the Association for Computational Linguistics: ACL 2026,proceedings-article,2026,10.18653/v1/2026.findings-acl.956,,1.0,UPGRADE,register says 'Preprint/technical report' but external source shows published in 'Findings of the Association for Computational Linguistics: ACL 2026'
168,Beyond Training: Enabling Self-Evolution of Agents with MOBIMEM,Preprint/technical report,arXiv / preprint,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
169,"Large Language Model Agents: A Comprehensive Survey on Architectures, Capabilities, and Applications",Archival published,"Preprints.org, not peer-reviewed version",,"Large Language Model Agents: A Comprehensive Survey on Architectures, Capabilities, and Applications",,posted-content,2025,10.20944/preprints202512.2119.v1,,1.0,DOWNGRADE,register says 'Archival published' but external source shows preprint/no venue (none)
170,"Memory in the Age of AI Agents: A Survey Forms, Functions and Dynamics",Preprint/technical report,arXiv / survey,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
171,Agentic Reasoning for Large Language Models,Preprint/technical report,arXiv / survey,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
172,"AI Agent Systems: Architectures, Applications, and Evaluation",Preprint/technical report,arXiv / survey,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
173,From language to action: a review of large language models as autonomous agents and tool users,Archival published,Artificial Intelligence Review,https://doi.org/10.1007/s10462-025-11190-1,From language to action: a review of large language models as autonomous agents and tool users,Artificial Intelligence Review,journal-article,2026,10.1007/s10462-025-11471-9,,1.0,OK,
174,"Toward Efficient Agents: Memory, Tool learning, and Planning",Preprint/technical report,arXiv / survey,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
175,A Survey on the Optimization of Large Language Model-based agents,Archival published,ACM-style journal article / arXiv version,,A Survey on the Optimization of Large Language Model-based Agents,ACM Computing Surveys,journal-article,2026,10.1145/3789261,,1.0,VENUE_MISMATCH,register venue 'ACM-style journal article / arXiv version' vs external 'ACM Computing Surveys'
176,PlanBench An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,Archival published,"NeurIPS 2023 Datasets & Benchmarks Track (NeurIPS vol. 36, pp. 38975–38987)",proceedings.neurips.cc hash 7a92bcdede88c7afd108072faf5485c8; 2206.10498,PlanBench: An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,Advances in Neural Information Processing Systems 36,proceedings-article,2023,10.52202/075280-1693,,1.0,VENUE_MISMATCH,"register venue 'NeurIPS 2023 Datasets & Benchmarks Track (NeurIPS vol. 36, pp. 38975–38987)' vs external 'Advances in Neural Information Processing Systems 36'"
177,Language Model Cascades,Preprint/technical report,"arXiv (ICML 2022 ""Beyond Bayes"" workshop, non-archival)",2207.10342,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
178,Visual ChatGPT Talking Drawing and Editing with Visual Foundation Models,Preprint/technical report,,2303.04671,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
179,Can Large Language Models Play Text Games Well Current State-of-the-Art and Open Questions,Preprint/technical report,arXiv,2304.02868,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
180,Introspective Tips Large Language Model for In-Context Decision Making,Preprint/technical report,,2305.11598,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
181,Knowledge-enhanced Agents for Interactive Text Games,Archival published,"K-CAP '23: Proceedings of the 12th Knowledge Capture Conference, pages 157-165",https://doi.org/10.1145/3587259.3627561,Knowledge-enhanced Agents for Interactive Text Games,Proceedings of the 12th Knowledge Capture Conference 2023,proceedings-article,2023,10.1145/3587259.3627561,,1.0,OK,
182,Language Models Meet World Models: Embodied Experiences Enhance Language Models,Archival published,"Advances in Neural Information Processing Systems 36 (NeurIPS 2023), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2023/hash/ee6630dcbcff857026e474fc857aa9f0-Abstract-Conference.html,Language Models Meet World Models: Embodied Experiences Enhance Language Models,Advances in Neural Information Processing Systems 36,proceedings-article,2023,10.52202/075280-3295,,1.0,OK,
183,Automatically Correcting Large Language Models: Surveying the Landscape of Diverse Automated Correction Strategies,Archival published,"Transactions of the Association for Computational Linguistics, Volume 12, pages 484-506",https://doi.org/10.1162/tacl_a_00660,"Automatically Correcting Large Language Models:
                    <i>Surveying the Landscape of Diverse Automated Correction Strategies</i>",Transactions of the Association for Computational Linguistics,journal-article,2024,10.1162/tacl_a_00660,,0.983,OK,
184,BOLAA Benchmarking and Orchestrating LLM-augmented Autonomous Agents,Preprint/technical report,arXiv,2308.05960,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
185,TPTU Large Language Model-based AI Agents for Task Planning and Tool Usage,Preprint/technical report,,2308.03427,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
186,CRAFT: Customizing LLMs by Creating and Retrieving from Specialized Toolsets,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",https://openreview.net/forum?id=G0vdDSt9XM,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
187,AdaRefiner: Refining Decisions of Language Models with Adaptive Feedback,Archival published,"Findings of the Association for Computational Linguistics: NAACL 2024, pages 782-799",https://doi.org/10.18653/v1/2024.findings-naacl.50,AdaRefiner: Refining Decisions of Language Models with Adaptive Feedback,Findings of the Association for Computational Linguistics: NAACL 2024,proceedings-article,2024,10.18653/v1/2024.findings-naacl.50,,1.0,OK,
188,AlphaZero-Like Tree-Search can Guide Large Language Model Decoding and Training,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 49890-49920",https://proceedings.mlr.press/v235/wan24c.html,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
189,AutoAgents: A Framework for Automatic Agent Generation,Archival published,"Proceedings of the Thirty-Third International Joint Conference on Artificial Intelligence (IJCAI-24), Main Track, pages 22-30",https://doi.org/10.24963/ijcai.2024/3,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
190,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,Archival accepted,Conference on Language Modeling (COLM 2024),https://openreview.net/forum?id=7BCmIWVT0V,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
191,L2MAC: Large Language Model Automatic Computer for Extensive Code Generation,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",https://openreview.net/forum?id=EhrzQwsV4K,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
192,Lemur: Harmonizing Natural Language and Code for Language Agents,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Spotlight",https://openreview.net/forum?id=hNhwSmtXRh,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
193,LLaMA-Rider: Spurring Large Language Models to Explore the Open World,Archival published,"Findings of the Association for Computational Linguistics: NAACL 2024, pages 4705-4724",https://doi.org/10.18653/v1/2024.findings-naacl.292,LLaMA-Rider: Spurring Large Language Models to Explore the Open World,Findings of the Association for Computational Linguistics: NAACL 2024,proceedings-article,2024,10.18653/v1/2024.findings-naacl.292,,1.0,OK,
194,Automating the Generation of Prompts for LLM-based Action Choice in PDDL Planning,Archival published,"Proceedings of the 35th International Conference on Automated Planning and Scheduling (ICAPS 2025), volume 35, issue 1, pages 250-259",https://doi.org/10.1609/icaps.v35i1.36126,Automating the Generation of Prompts for LLM-based Action Choice in PDDL Planning,Proceedings of the International Conference on Automated Planning and Scheduling,journal-article,2025,10.1609/icaps.v35i1.36126,,1.0,OK,
195,Controlling Large Language Model-based Agents for Large-Scale Decision-Making An Actor-Critic Approach,Workshop/non-archival,LLM Agents Workshop @ ICLR 2024 (non-archival),2311.13884,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
196,JARVIS-1: Open-World Multi-Task Agents With Memory-Augmented Multimodal Language Models,Archival published,"IEEE Transactions on Pattern Analysis and Machine Intelligence, volume 47, issue 3, pages 1894-1907",https://doi.org/10.1109/TPAMI.2024.3511593,"<b>JARVIS</b>
                    -1: Open-World Multi-Task Agents With Memory-Augmented Multimodal Language Models",IEEE Transactions on Pattern Analysis and Machine Intelligence,journal-article,2025,10.1109/tpami.2024.3511593,,0.977,OK,
197,AgentCoder Multi-Agent-based Code Generation with Iterative Testing and Optimisation,Preprint/technical report,,2312.13010,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
198,"A Survey on LLM-Based Multi-Agent Systems: Workflow, Infrastructure, and Challenges",Archival published,"Vicinagearth, volume 1, article 9",https://doi.org/10.1007/s44336-024-00009-2,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges",Vicinagearth,journal-article,2024,10.1007/s44336-024-00009-2,,1.0,OK,
199,"Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects",Preprint/technical report,,2401.03428,"Exploring Large Language Model‐Based Intelligent Agents: Definitions, Methods, and Prospects",WIREs Data Mining and Knowledge Discovery,journal-article,2026,10.1002/widm.70111,,1.0,UPGRADE,register says 'Preprint/technical report' but external source shows published in 'WIREs Data Mining and Knowledge Discovery'
200,Self-Discover: Large Language Models Self-Compose Reasoning Structures,Archival published,NeurIPS 2024 (Main Conf. Track),https://openreview.net/forum?id=BROvXhmzYK; 2402.03620,SELF-DISCOVER: Large Language Models Self-Compose Reasoning Structures,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-4004,,1.0,VENUE_MISMATCH,register venue 'NeurIPS 2024 (Main Conf. Track)' vs external 'Advances in Neural Information Processing Systems 37'
201,"Position: Towards Unified Alignment Between Agents, Humans, and Environment",Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 56251-56275",https://proceedings.mlr.press/v235/yang24p.html,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
202,A Human-Inspired Reading Agent with Gist Memory of Very Long Contexts,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 26396-26415",https://proceedings.mlr.press/v235/lee24c.html,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
203,When is Tree Search Useful for LLM Planning? It Depends on the Discriminator,Archival published,"Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (ACL 2024), Long Papers, pages 13659–13678",https://doi.org/10.18653/v1/2024.acl-long.738,When is Tree Search Useful for LLM Planning? It Depends on the Discriminator,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2024,10.18653/v1/2024.acl-long.738,,1.0,OK,
204,"WorldCoder, a Model-Based LLM Agent: Building World Models by Writing Code and Interacting with the Environment",Archival published,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2024/hash/820c61a0cd419163ccbd2c33b268816e-Abstract-Conference.html,"WorldCoder, a Model-Based LLM Agent: Building World Models by Writing Code and Interacting with the Environment",Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-2243,,1.0,OK,
205,"A Survey on Game Playing Agents and Large Models: Methods, Applications, and Challenges",Preprint/technical report,,2403.10249,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
206,CACA Agent Capability Collaboration based AI Agent,Preprint/technical report,,2403.15137,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
207,Can LLM-Augmented Autonomous Agents Cooperate? An Evaluation of Their Cooperative Capabilities Through Melting Pot,Archival published,"IEEE Transactions on Artificial Intelligence, early-access publication in 2025; later assigned to volume 7, issue 2, pages 610–624",https://doi.org/10.1109/TAI.2025.3569192,Can LLM-Augmented Autonomous Agents Cooperate? An Evaluation of Their Cooperative Capabilities Through Melting Pot,IEEE Transactions on Artificial Intelligence,journal-article,2026,10.1109/tai.2025.3569192,,1.0,OK,
208,Language Guided Exploration for RL Agents in Text Environments,Archival published,"Findings of the Association for Computational Linguistics: NAACL 2024, pages 93–102",https://doi.org/10.18653/v1/2024.findings-naacl.7,Language Guided Exploration for RL Agents in Text Environments,Findings of the Association for Computational Linguistics: NAACL 2024,proceedings-article,2024,10.18653/v1/2024.findings-naacl.7,,1.0,OK,
209,MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,Archival published,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",https://doi.org/10.52202/079017-1647,MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-1647,,1.0,OK,
210,Playing NetHack with LLMs: Potential & Limitations as Zero-Shot Agents,Archival published,"2024 IEEE Conference on Games (CoG 2024), pages 1–8",https://doi.org/10.1109/CoG60054.2024.10645630,Playing NetHack with LLMs: Potential &amp; Limitations as Zero-Shot Agents,2024 IEEE Conference on Games (CoG),proceedings-article,2024,10.1109/cog60054.2024.10645630,,0.971,OK,
211,Memory Sharing for Large Language Model based Agents,Preprint/technical report,,2404.09982,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
212,"Toward Self-Improvement of LLMs via Imagination, Searching, and Criticizing",Archival published,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2024/hash/5e5853f35164e434015716a8c2a66543-Abstract-Conference.html,"Toward Self-Improvement of LLMs via Imagination, Searching, and Criticizing",Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-1670,,1.0,OK,
213,360°REA: Towards Reusable Experience Accumulation with 360° Assessment for Multi-Agent Systems,Archival published,"Findings of the Association for Computational Linguistics: ACL 2024, pages 13149–13162",https://doi.org/10.18653/v1/2024.findings-acl.778,360∘REA: Towards A Reusable Experience Accumulation with 360∘ Assessment for Multi-Agent System,Findings of the Association for Computational Linguistics ACL 2024,proceedings-article,2024,10.18653/v1/2024.findings-acl.778,,0.984,OK,
214,A Survey on Large Language Model-Based Game Agents,Archival accepted,ACM Computing Surveys (to appear),https://doi.org/10.48550/arXiv.2404.02039; arXiv:2404.02039,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
215,AgentKit: Structured LLM Reasoning with Dynamic Graphs,Archival accepted,Conference on Language Modeling (COLM 2024),https://openreview.net/forum?id=PKfAq8N4fK,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
216,Agent Planning with World Knowledge Model,Archival published,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",https://proceedings.neurips.cc/paper_files/paper/2024/hash/d032263772946dd5026e7f3cd22bce5b-Abstract-Conference.html,Agent Planning with World Knowledge Model,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-3646,,1.0,OK,
217,A Human-Like Reasoning Framework for Multi-Phases Planning Task with Large Language Models,Preprint/technical report,,2405.18208,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
218,AI-native Memory: A Pathway from LLMs Towards AGI,Preprint/technical report,,2406.18312,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
219,Ask-before-Plan: Proactive Language Agents for Real-World Planning,Archival published,Findings of the Association for Computational Linguistics: EMNLP 2024,https://doi.org/10.18653/v1/2024.findings-emnlp.636,Ask-before-Plan: Proactive Language Agents for Real-World Planning,Findings of the Association for Computational Linguistics: EMNLP 2024,proceedings-article,2024,10.18653/v1/2024.findings-emnlp.636,,1.0,OK,
220,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use (Including RAG), Planning, and Feedback Learning",Archival published,"Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025), pages 9760–9779",https://aclanthology.org/2025.coling-main.658/,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
221,Chain of Agents: Large Language Models Collaborating on Long-Context Tasks,Archival published,Advances in Neural Information Processing Systems 37 (NeurIPS 2024),https://proceedings.neurips.cc/,Chain of Agents: Large Language Models Collaborating on Long-Context Tasks,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-4202,,1.0,OK,
222,FlowBench: Revisiting and Benchmarking Workflow-Guided Planning for LLM-based Agents,Archival published,Findings of the Association for Computational Linguistics: EMNLP 2024,https://doi.org/10.18653/v1/2024.findings-emnlp.638,FlowBench: Revisiting and Benchmarking Workflow-Guided Planning for LLM-based Agents,Findings of the Association for Computational Linguistics: EMNLP 2024,proceedings-article,2024,10.18653/v1/2024.findings-emnlp.638,,1.0,OK,
