record_id,title,old_status_category,new_status_category,old_venue,new_venue,old_identifier,new_identifier,bibliography_eligibility,final_exclusion_reason,adjudication_decision
249,"Meta-Agent-Workflow: Streamlining Tool Usage in LLMs through Workflow Construction, Retrieval, and Refinement",Archival published,Archival published,Companion Proceedings of the ACM Web Conference 2025 (WWW Companion 2025),Companion Proceedings of the ACM on Web Conference 2025,https://doi.org/10.1145/3701716.3715247,https://doi.org/10.1145/3701716.3715247,Eligible if cited,,RETAIN_ARCHIVAL_NORMALIZE_VENUE
250,Orchestrating Agents and Data for Enterprise- A Blueprint Architecture for Compound AI,Preprint/technical report,Archival published,arXiv preprint arXiv:2504.08148,2025 IEEE 41st International Conference on Data Engineering Workshops (ICDEW),,https://doi.org/10.1109/icdew67478.2025.00007,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
251,OTC- Optimal Tool Calls via Reinforcement Learning,Preprint/technical report,Preprint/technical report,arXiv,arXiv / preprint,2504.14870,https://arxiv.org/abs/2504.14870,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
252,Towards Agentic RAG with Deep Reasoning- A Survey of RAG-Reasoning Systems in LLMs,Preprint/technical report,Archival published,arXiv preprint,Findings of EMNLP 2025,,https://aclanthology.org/2025.findings-emnlp.648/,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_FINDINGS_EMNLP
254,A Comprehensive Survey of Self-Evolving AI Agents,Preprint/technical report,Preprint/technical report,arXiv,arXiv / preprint,2508.07407,https://arxiv.org/abs/2508.07407,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
256,AgentScope 1.0- A Developer-Centric Framework for Building Agentic Applications,Preprint/technical report,Preprint/technical report,arXiv preprint arXiv:2508.16279,arXiv / preprint,,https://arxiv.org/abs/2508.16279,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
261,"Agentic AI- A Comprehensive Survey of Architectures, Applications, and Future Directions",Preprint/technical report,Archival published,arXiv preprint arXiv:2510.25445,Artificial Intelligence Review,,https://doi.org/10.1007/s10462-025-11422-4,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
262,Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,Archival accepted,Archival published,"International Conference on Learning Representations, ICLR 2026",ICLR 2026,https://openreview.net/forum?id=eC4ygDs02R,https://openreview.net/forum?id=eC4ygDs02R,Eligible if cited,,SET_ARCHIVAL_PUBLISHED
264,ALITA-G- Self-Evolving Generative Agent for Agent Generation,Preprint/technical report,Preprint/technical report,arXiv preprint arXiv:2510.23601,arXiv / preprint,,https://arxiv.org/abs/2510.23601,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
265,AlphaApollo- Orchestrating Foundation Models and Professional Tools into a Self-Evolving System for Deep Agentic Reasoning,Workshop/conditional,Workshop/non-archival,Lifelong Agent Workshop at ICLR 2026,ICLR 2026 Workshop on AI with Recursive Self-Improvement,,https://openreview.net/forum?id=UcIFJPXqrB,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Workshop/non-archival,SET_WORKSHOP_NON_ARCHIVAL_CORRECT_VENUE
267,The Era of Agentic Organization- Learning to Organize with Language Models,Preprint/technical report,Preprint/technical report,arXiv preprint arXiv:2510.26658,arXiv / preprint,,https://arxiv.org/abs/2510.26658,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
276,"MCP-Flow- Facilitating LLM Agents to Master Real-World, Diverse and Scaling MCP Tools",Preprint/technical report,Archival published,arXiv preprint arXiv:2510.24284,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,https://doi.org/10.18653/v1/2026.acl-long.231,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
277,OCR-Memory- Optical Context Retrieval for Long-Horizon Agent Memory,Preprint/technical report,Archival published,arXiv preprint arXiv:2604.26622,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,https://doi.org/10.18653/v1/2026.acl-long.474,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
278,StructMem- Structured Memory for Long-Horizon Behavior in LLMs,Preprint/technical report,Archival published,arXiv preprint arXiv:2604.21748,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),,https://doi.org/10.18653/v1/2026.acl-short.12,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
282,SeeAct- GPT-4V__ision__ is a Generalist Web Agent if Grounded,Archival published,Archival published,Proceedings of ICML,Proceedings of ICML,arXiv:2401.01614,https://proceedings.mlr.press/v235/zheng24e.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PMLR
284,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,,https://openreview.net/forum?id=ryTp3f-0-,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
286,A Real-World WebAgent with Planning Long Context Understanding and Program Synthesis,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,,https://proceedings.iclr.cc/paper_files/paper/2024/hash/e91bf7dfba0477554994c6d64833e9d8-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
289,Agent S An Open Agentic Framework that Uses Computers Like a Human,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,arXiv:2410.08164,https://proceedings.iclr.cc/paper_files/paper/2025/hash/394c7c30ea87b5c3521b4d9e9d419071-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
295,Large Language Model-Brained GUI Agents- A Survey,Archival published,Archival published,Transactions on Machine Learning Research,Transactions on Machine Learning Research,arXiv:2411.18279,https://openreview.net/pdf?id=xChvYjvXTp,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_TMLR
296,GUI Agents- A Survey,Preprint/technical report,Archival published,arXiv preprint arXiv:2411.04890,Findings of the Association for Computational Linguistics: ACL 2025,,https://aclanthology.org/2025.findings-acl.1158/,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_ACL_FINDINGS
298,WALT- Web Agents that Learn Tools,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,arXiv:2510.01524,https://proceedings.iclr.cc/paper_files/paper/2026/hash/5b175f9e93873e3a10a6ce43dbb82e05-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
301,Synapse- Leveraging Few-Shot Exemplars for Human-Level Computer Control,Preprint/technical report,Archival published,arXiv preprint,ICLR 2024,,https://proceedings.iclr.cc/paper_files/paper/2024/hash/52f050499cf82fa8efb588e263f6f3a7-Abstract-Conference.html,Duplicate/version; do not count,Duplicate/version of canonical record 457,MERGE_VERSION_WITH_457_FINAL_ICLR
307,Cradle Empowering Foundation Agents Towards General Computer Control,Archival published,Archival published,Proceedings of the 42nd International Conference on Machine Learning,Proceedings of the 42nd International Conference on Machine Learning,arXiv:2403.03186,https://proceedings.mlr.press/v267/tan25h.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PMLR
309,Grounded Language Agent for Product Search via Intelligent Web Interactions,Unconfirmed,Archival published,ACL Workshop CustomNLP4U 2024,"Proceedings of the 1st Workshop on Customizable NLP: Progress and Challenges in Customizing NLP for a Domain, Application, Group, or Individual (CustomNLP4U)",,https://doi.org/10.18653/v1/2024.customnlp4u-1.7,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
313,Turn Every Application into an Agent- Towards Efficient Human-Agent-Computer Interaction with API-First LLM-Based Agents,Archival published,Archival published,Proceedings of ACL (Long Papers),ACL 2025 Long Papers,arXiv:2409.17140,https://aclanthology.org/2025.acl-long.381/,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_RENAMED_FINAL
316,"AI Agents for Computer Use- A Review of Instruction-based Computer Control, GUI Automation, and Operator Assistants",Preprint/technical report,Preprint/technical report,arXiv,arXiv / preprint,2501.16150,https://arxiv.org/abs/2501.16150,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
320,LLM-Powered GUI Agents in Phone Automation- Surveying Progress and Prospects,Archival published,Archival published,Transactions on Machine Learning Research,Transactions on Machine Learning Research,https://openreview.net/forum?id=phoneguisurvey2025,https://openreview.net/forum?id=yWQqoi1G1K,Eligible if cited,,RETAIN_ARCHIVAL_CORRECT_IDENTIFIER
323,GA- A Comprehensive Survey on LLM-based GUI Agent,Archival published,Preprint/technical report,TechRxiv / submitted manuscript,TechRxiv,,https://doi.org/10.36227/techrxiv.175322671.12208812/v1,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,SET_PREPRINT_ONLY
325,Embodied Web Agents Bridging Physical-Digital Realms for Integrated Agent Intelligence,Preprint/technical report,Archival published,arXiv preprint / under review,Advances in Neural Information Processing Systems 38,,https://doi.org/10.52202/085713-1585,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
326,Agentic Web- Weaving the Next Web with AI Agents,Preprint/technical report,Preprint/technical report,arXiv preprint arXiv:2502.09543,arXiv / preprint,arXiv:2502.09543,https://arxiv.org/abs/2502.09543,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
327,CoAct-1- Computer-using Agents with Coding as Actions,Preprint/technical report,Archival published,arXiv preprint arXiv:2504.13762,ICLR 2026,arXiv:2504.13762,https://openreview.net/forum?id=l1MQVgIKEU,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_ICLR_FINAL_TITLE
329,Are LLM Agents the New RPA- A Comparative Study with RPA Across Enterprise Workflows,Preprint/technical report,Preprint/technical report,arXiv:2502.01354,arXiv / CoRR,arXiv:2502.01354,https://arxiv.org/abs/2509.04198,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_NO_ARCHIVAL_PROCEEDINGS
330,BrowserAgent- Building Web Agents with Human-Inspired Web Browsing Actions,Archival published,Archival published,Transactions on Machine Learning Research,Transactions on Machine Learning Research,arXiv:2412.10074,https://mlanthology.org/tmlr/2026/yu2026tmlr-browseragent/,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_TMLR
336,A Comprehensive Survey of Agents for Computer Use,Archival published,Archival published,Journal of Artificial Intelligence Research,Journal of Artificial Intelligence Research 85,https://doi.org/10.1613/jair.1.17178,https://doi.org/10.1613/jair.1.19490,Eligible if cited,,RETAIN_ARCHIVAL_CORRECT_JAIR_METADATA
338,WebArena- A Realistic Web Environment for Building Autonomous Agents,Archival published,Archival published,International Conference on Learning Representations,ICLR 2024,,https://proceedings.iclr.cc/paper_files/paper/2024/hash/4410c0711e9154a7a2d26f9b3816d1ef-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
340,WebLINX- Real-World Website Navigation with Multi-Turn Dialogue,Archival published,Archival published,Proceedings of ICML,Proceedings of ICML,,https://proceedings.mlr.press/v235/lu24e.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PMLR
341,AgentBench Evaluating LLMs as Agents,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,arXiv:2308.03688,https://proceedings.iclr.cc/paper_files/paper/2024/hash/e9df36b21ff4ee211a8b71ee8b7e9f57-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
342,GAIA a benchmark for General AI Assistants,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,arXiv:2311.12983,https://proceedings.iclr.cc/paper_files/paper/2024/hash/25ae35b5b1738d80f1f03a8713e405ec-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
343,OmniACT A Dataset and Benchmark for Enabling Multimodal Generalist Autonomous Agents for Desktop and Web,Archival published,Archival published,European Conference on Computer Vision,"Computer Vision – ECCV 2024, Lecture Notes in Computer Science",https://doi.org/10.48550/arXiv.2402.17553,https://doi.org/10.1007/978-3-031-73113-6_10,Eligible if cited,,RETAIN_ARCHIVAL_NORMALIZE_CONTAINER
344,WorkArena- How Capable Are Web Agents at Solving Common Knowledge Work Tasks,Archival published,Archival published,Proceedings of ICML,Proceedings of ICML,,https://proceedings.mlr.press/v235/drouin24a.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PMLR
351,The BrowserGym Ecosystem for Web Agent Research,Archival published,Archival published,TMLR,Transactions on Machine Learning Research,arXiv:2412.05467,https://openreview.net/pdf?id=5298fKGmv3,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_TMLR
353,BEARCUBS A benchmark for computer-using web agents,Archival published,Archival published,COLM,COLM 2025,,https://openreview.net/forum?id=0JzWiigkUy,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_COLM
356,AgentRewardBench Evaluating Automatic Evaluations of Web Agent Trajectories,Archival published,Archival published,COLM,COLM,,https://openreview.net/pdf?id=fQcUZMPIvu,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_COLM
358,DeepShop- A Benchmark for Deep Research Shopping Agents,Preprint/technical report,Preprint/technical report,arXiv preprint arXiv:2506.02839,arXiv / under review,,https://arxiv.org/abs/2506.02839,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_UNDER_REVIEW
360,EconWebArena Benchmarking Autonomous Agents on Economic Tasks in Realistic Web Environments,Workshop/conditional,Archival published,NeurIPS 2025 Workshop on Generative AI in Finance,"Proceedings of the Fifth Workshop on Generation, Evaluation and Metrics (GEM)",arXiv:2506.08136,https://doi.org/10.18653/v1/2026.gem-main.67,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
365,"BrowseComp-V3- A Visual, Vertical, and Verifiable Benchmark for Multimodal Browsing Agents",Preprint/technical report,Preprint/technical report,arXiv preprint arXiv:2602.12876,arXiv / preprint,,https://arxiv.org/abs/2602.12876,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
366,PATHWAYS- Evaluating Investigation and Context Discovery in AI Web Agents,Preprint/technical report,Preprint/technical report,arXiv preprint arXiv:2602.05354,arXiv / preprint,https://doi.org/10.48550/arXiv.2602.05354,https://arxiv.org/abs/2602.05354,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_TARGETED_SEARCH_NO_ARCHIVAL
367,ST-WebAgentBench- A Benchmark for Evaluating Safety and Trustworthiness in Web Agents,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,arXiv:2410.06703,https://proceedings.iclr.cc/paper_files/paper/2026/hash/c6c29e590e3c62e37e6b39cdd6baf2e8-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
372,ASSISTGUI- Task-Oriented Desktop Graphical User Interface Automation,Archival published,Archival published,"IEEE Xplore proceedings (title variant ""AssistGUI: Task-Oriented PC GUI Automation"")",Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR 2024),IEEE Xplore doc 10656030; 2312.13108,https://openaccess.thecvf.com/content/CVPR2024/html/Gao_AssistGUI_Task-Oriented_PC_Graphical_User_Interface_Automation_CVPR_2024_paper.html,Eligible if cited,,RETAIN_ARCHIVAL_CORRECT_TITLE_CVPR
373,TravelPlanner A Benchmark for Real-World Planning with Language Agents,Archival published,Archival published,Proceedings of ICML,Proceedings of ICML,arXiv:2402.01622,https://proceedings.mlr.press/v235/xie24j.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PMLR
374,AndroidWorld A Dynamic Benchmarking Environment for Autonomous Agents,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,arXiv:2405.14573,https://proceedings.iclr.cc/paper_files/paper/2025/hash/01a83bc2f2732a58e6aa731e659e7101-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
375,WorkBench a Benchmark Dataset for Agents in a Realistic Workplace Setting,Archival published,Archival published,COLM,COLM 2024,https://openreview.net/forum?id=4HNAwZFDcH,https://openreview.net/forum?id=4HNAwZFDcH,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW
376,-bench A Benchmark for Tool-Agent-User Interaction in Real-World Domains,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,arXiv:2406.12045,https://openreview.net/forum?id=roNSXZpUDN,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
377,AI Agents That Matter,Archival published,Archival published,TMLR,Transactions on Machine Learning Research,arXiv:2407.01502,https://openreview.net/pdf?id=Zy4uFzMviZ,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_TMLR
381,VisualAgentBench Towards Large Multimodal Models as Visual Foundation Agents,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,arXiv:2408.06327,https://proceedings.iclr.cc/paper_files/paper/2025/hash/eea71dc576381b88f2a0ca4dedc2140d-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
383,Windows Agent Arena Evaluating Multi-Modal OS Agents at Scale,Archival published,Archival published,Proceedings of ICML,Proceedings of ICML,arXiv:2409.08264,https://proceedings.mlr.press/v267/bonatti25a.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PMLR
384,SPA-Bench- A Comprehensive Benchmark for SmartPhone Agent Evaluation,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,arXiv:2410.15164,https://proceedings.iclr.cc/paper_files/paper/2025/hash/9a75f4dd9679aa4ff80a4e6f0a1dc700-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
385,Agent-as-a-Judge Evaluate Agents with Agents,Archival published,Archival published,Proceedings of ICML,Proceedings of ICML,arXiv:2410.10934,https://proceedings.mlr.press/v267/zhuge25a.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PMLR
387,VideoWebArena Evaluating Long Context Multimodal Agents with Video Understanding Web Tasks,Archival published,Archival published,ICLR 2025,ICLR 2025,"proceedings.iclr.cc (2025, OpenReview unDQOUah0F); 2410.19100",https://proceedings.iclr.cc/paper_files/paper/2025/hash/5b555804d495321df2e3208cc27f4fbc-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
389,A3- Android Agent Arena for Mobile GUI Agents,Archival published,Archival published,Findings of ACL 2026,Findings of ACL 2026,https://aclanthology.org/2026.findings-acl.184/; 2501.01149,https://aclanthology.org/2026.findings-acl.184/,Eligible if cited,,RETAIN_ARCHIVAL_CORRECT_ACL_FINAL_TITLE
390,Survey on Evaluation of LLM-based Agents,Preprint/technical report,Archival published,arXiv (IBM),Findings of the Association for Computational Linguistics: ACL 2026,2503.16416,https://doi.org/10.18653/v1/2026.findings-acl.1330,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
392,UI-Vision- A Desktop-centric GUI Benchmark for Visual Perception and Interaction,Archival published,Archival published,ICML 2025 (PMLR 267:45817–45851),"Proceedings of the 42nd International Conference on Machine Learning, PMLR 267",https://proceedings.mlr.press/v267/nayak25a.html; 2503.15661,https://proceedings.mlr.press/v267/nayak25a.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS
413,NEWSAGENT- Benchmarking Multimodal Agents as Journalists with Real-World Newswriting Tasks,Archival published,Archival published,Findings of ACL 2026 (volume live; ISBN 979-8-89176-395-1),Findings of ACL 2026,https://aclanthology.org/volumes/2026.findings-acl/; 2509.00446,https://aclanthology.org/2026.findings-acl.1816/,Eligible if cited,,RETAIN_ARCHIVAL_CORRECT_ACL_FINAL_TITLE
415,DRBench- A Realistic Benchmark for Enterprise Deep Research,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,arXiv:2510.00172,https://proceedings.iclr.cc/paper_files/paper/2026/hash/0ba520d93c3df592c83a611961314c98-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
416,GEM- A Gym for Agentic LLMs,Archival published,Archival published,ICLR 2026 (conference paper),ICLR 2026,https://openreview.net/forum?id=0Ylu01jcnu; 2510.01051,https://proceedings.iclr.cc/paper_files/paper/2026/hash/b3956812189001f673d29c626bc897ae-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
417,Holistic Agent Leaderboard- The Missing Infrastructure for AI Agent Evaluation,Archival published,Archival published,ICLR 2026 (Poster),ICLR 2026,https://openreview.net/forum?id=vUaY1t64ZZ; 2510.11977,https://openreview.net/forum?id=vUaY1t64ZZ,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_OPENREVIEW
419,TheMCPCompany- Creating General-purpose Agents with Task-specific Tools,Archival published,Preprint/technical report,International Conference on Learning Representations,arXiv preprint,arXiv:2504.11676,https://arxiv.org/abs/2510.19286,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,SET_PREPRINT_TECH_REPORT_NO_FINAL_ICLR
424,Ego2Web- A Web Agent Benchmark Grounded in Egocentric Videos,Archival published,Archival published,CVPR 2026 (CVF Open Access),Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR 2026),https://openaccess.thecvf.com/CVPR2026; 2603.22529,https://openaccess.thecvf.com/content/CVPR2026/html/Yu_Ego2Web_A_Web_Agent_Benchmark_Grounded_in_Egocentric_Videos_CVPR_2026_paper.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_CVF
425,AgentWebBench- Benchmarking Multi-Agent Coordination in Agentic Web,Archival accepted,Archival accepted,ICML 2026 (Proc. 43rd Int. Conf. on Machine Learning; Poster),ICML 2026 (43rd International Conference on Machine Learning),https://icml.cc/ (2026 proceedings); 2604.10938,https://icml.cc/ (2026 proceedings); 2604.10938,Eligible if cited,,RETAIN_ARCHIVAL_ACCEPTED_OFFICIAL_ICML
430,InfiAgent-DABench: Evaluating Agents on Data Analysis Tasks,Archival published,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 19544-19572","Proceedings of the 41st International Conference on Machine Learning, PMLR 235",https://proceedings.mlr.press/v235/hu24s.html,https://proceedings.mlr.press/v235/hu24s.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PROCEEDINGS
431,Auto-Eval Judge- Towards a General Agentic Framework for Task Completion Evaluation,Preprint/technical report,Preprint/technical report,arXiv preprint,arXiv preprint,,https://arxiv.org/abs/2508.05508,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,RETAIN_PREPRINT_NO_ARCHIVAL_VENUE
436,UNDERSTANDING HTML WITH LARGE LANGUAGE,Archival published,Archival published,Findings of EMNLP,Findings of the Association for Computational Linguistics: EMNLP 2023,https://doi.org/10.18653/v1/2023.findings-emnlp.185,https://aclanthology.org/2023.findings-emnlp.185/,Eligible if cited,,RETAIN_ARCHIVAL_NORMALIZE_VENUE
437,Pix2Struct- Screenshot Parsing as Pretraining for Visual Language Understanding,Archival published,Archival published,Proceedings of ICML,Proceedings of ICML,arXiv:2210.03347,https://proceedings.mlr.press/v202/lee23g.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_PMLR
439,Pix2Act -- From Pixels to UI Actions- Learning to Follow Instructions via Graphical User Interfaces,Archival published,Archival published,Advances in NeurIPS,Advances in Neural Information Processing Systems 36 (NeurIPS 2023),arXiv:2306.00245,https://proceedings.neurips.cc/paper_files/paper/2023/hash/6c52a8a4fadc9129c6e1d1745f2dfd0f-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_NEURIPS
443,OmniParser for Pure Vision Based GUI Agent,Archival published,Preprint/technical report,International Conference on Learning Representations,arXiv preprint,arXiv:2408.00203,https://arxiv.org/abs/2408.00203,Not eligible under strict journal/conference rule,Publication status not eligible under strict archival journal/conference rule: Preprint/technical report,SET_PREPRINT_TECH_REPORT_NO_FINAL_ICLR
444,OS-ATLAS- A Foundation Action Model for Generalist GUI Agents,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,arXiv:2410.23218,https://proceedings.iclr.cc/paper_files/paper/2025/hash/0faa4bc5f522076947a030273629d4fe-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
449,UGround- Unified Visual Grounding for GUI Agents,Archival published,Archival published,International Conference on Learning Representations,ICLR 2025 Oral,https://openreview.net/forum?id=kxnoqaisCT,https://openreview.net/forum?id=kxnoqaisCT,Eligible if cited,,RETAIN_ARCHIVAL_CORRECT_ICLR_FINAL_TITLE
453,LCoW- Learning to Contextualize Web Pages for Enhanced Decision Making by LLM Agents,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,arXiv:2503.10689,https://proceedings.iclr.cc/paper_files/paper/2025/hash/c995a913bc20ca39ce2231b8973be90a-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
455,MolmoWeb- Open Visual Web Agent and Open Data for the Open Web,Preprint/technical report,Archival published,arXiv preprint arXiv:2604.08516,Lecture Notes in Computer Science,,https://doi.org/10.1007/978-3-032-37393-9_17,Eligible if cited,,SET_ARCHIVAL_PUBLISHED_STRONG_TITLE_DOI
457,Synapse Trajectory-as-Exemplar Prompting with Memory for Computer Control,Archival published,Archival published,International Conference on Learning Representations,ICLR 2024,arXiv:2306.07863,https://proceedings.iclr.cc/paper_files/paper/2024/hash/52f050499cf82fa8efb588e263f6f3a7-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR_CORRECTED
460,Ferret-UI- Grounded Mobile UI Understanding with Multimodal LLMs,Archival published,Archival published,Proceedings of the European Conference on Computer Vision,"Computer Vision – ECCV 2024, Lecture Notes in Computer Science",https://doi.org/10.1007/978-3-031-73039-9_14,https://doi.org/10.1007/978-3-031-73039-9_14,Eligible if cited,,RETAIN_ARCHIVAL_NORMALIZE_CONTAINER
462,GUI-World A Video Benchmark and Dataset for Multimodal GUI-oriented Understanding,Archival published,Archival published,International Conference on Learning Representations,International Conference on Learning Representations,arXiv:2406.10819,https://proceedings.iclr.cc/paper_files/paper/2025/hash/3926df1a00c9abf056df7bcf253d026a-Abstract-Conference.html,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_ICLR
464,ScreenAI- A Vision-Language Model for UI and Infographics Understanding,Archival published,Archival published,Proceedings of IJCAI,Proceedings of the Thirty-Third International Joint Conference on Artificial Intelligence (IJCAI-24),https://doi.org/10.24963/ijcai.2024/339,https://www.ijcai.org/proceedings/2024/339,Eligible if cited,,RETAIN_ARCHIVAL_OFFICIAL_IJCAI
