record_id,title,year,venue,publication_status,status_category,existing_identifier,existing_archival_doi,doi_final,doi_status,doi_source,verification_url,crossref_title,crossref_score,crossref_type,crossref_year,openalex_title,openalex_score,manual_decision,notes
208,Language Guided Exploration for RL Agents in Text Environments,2024,"Findings of the Association for Computational Linguistics: NAACL 2024, pages 93–102",Published,Archival published,https://doi.org/10.18653/v1/2024.findings-naacl.7,10.18653/v1/2024.findings-naacl.7,10.18653/v1/2024.findings-naacl.7,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2024.findings-naacl.7,Language Guided Exploration for RL Agents in Text Environments,1.0000,proceedings-article,2024,,,,
209,MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,2024,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",Published,Archival published,https://doi.org/10.52202/079017-1647,10.52202/079017-1647,10.52202/079017-1647,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.52202/079017-1647,MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,1.0000,proceedings-article,2024,,,,
210,Playing NetHack with LLMs: Potential & Limitations as Zero-Shot Agents,2024,"2024 IEEE Conference on Games (CoG 2024), pages 1–8",Published,Archival published,https://doi.org/10.1109/CoG60054.2024.10645630,10.1109/cog60054.2024.10645630,10.1109/cog60054.2024.10645630,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.1109/cog60054.2024.10645630,Playing NetHack with LLMs: Potential &amp; Limitations as Zero-Shot Agents,0.9493,proceedings-article,2024,,,,
212,"Toward Self-Improvement of LLMs via Imagination, Searching, and Criticizing",2024,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",Published,Archival published,https://proceedings.neurips.cc/paper_files/paper/2024/hash/5e5853f35164e434015716a8c2a66543-Abstract-Conference.html,,10.52202/079017-1670,added_verified_archival_doi_crossref,Crossref exact-title search,https://doi.org/10.52202/079017-1670,"Toward Self-Improvement of LLMs via Imagination, Searching, and Criticizing",1.0400,proceedings-article,2024,"Toward Self-Improvement of LLMs via Imagination, Searching, and Criticizing",1.0400,,
213,360°REA: Towards Reusable Experience Accumulation with 360° Assessment for Multi-Agent Systems,2024,"Findings of the Association for Computational Linguistics: ACL 2024, pages 13149–13162",Published,Archival published,https://doi.org/10.18653/v1/2024.findings-acl.778,10.18653/v1/2024.findings-acl.778,10.18653/v1/2024.findings-acl.778,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2024.findings-acl.778,360∘REA: Towards A Reusable Experience Accumulation with 360∘ Assessment for Multi-Agent System,0.9145,proceedings-article,2024,,,,
214,A Survey on Large Language Model-Based Game Agents,2024,ACM Computing Surveys,Accepted,Archival accepted,https://doi.org/10.48550/arXiv.2404.02039; arXiv:2404.02039,,,verified_no_archival_doi_manual,Official arXiv record and ACM title search,https://arxiv.org/abs/2404.02039,,,,,,,no_doi,Formally accepted at ACM Computing Surveys but no ACM DOI was assigned as of the audit cutoff. DOI 10.1007/s11704-024-40231-1 belongs to a different autonomous-agents survey.
215,AgentKit: Structured LLM Reasoning with Dynamic Graphs,2024,COLM 2024,Published,Archival published,https://openreview.net/forum?id=PKfAq8N4fK,,,verified_no_archival_doi_expected_for_venue,,,Graph of Verification: Structured Verification of LLM Reasoning with Directed Acyclic Graphs,0.5521,journal-article,2026,AgentKit: Structured LLM Reasoning with Dynamic Graphs,1.0400,,
216,Agent Planning with World Knowledge Model,2024,"Advances in Neural Information Processing Systems 37 (NeurIPS 2024), Main Conference Track",Published,Archival published,https://proceedings.neurips.cc/paper_files/paper/2024/hash/d032263772946dd5026e7f3cd22bce5b-Abstract-Conference.html,,10.52202/079017-3646,added_verified_archival_doi_crossref,Crossref exact-title search,https://doi.org/10.52202/079017-3646,Agent Planning with World Knowledge Model,1.0400,proceedings-article,2024,Agent Planning with World Knowledge Model,1.0400,,
219,Ask-before-Plan: Proactive Language Agents for Real-World Planning,2024,Findings of the Association for Computational Linguistics: EMNLP 2024,Published,Archival published,https://doi.org/10.18653/v1/2024.findings-emnlp.636,10.18653/v1/2024.findings-emnlp.636,10.18653/v1/2024.findings-emnlp.636,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2024.findings-emnlp.636,Ask-before-Plan: Proactive Language Agents for Real-World Planning,1.0000,proceedings-article,2024,,,,
220,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use (Including RAG), Planning, and Feedback Learning",2025,Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025),Published,Archival published,https://aclanthology.org/2025.coling-main.652/,,,verified_no_archival_doi_manual,Official ACL Anthology record,https://aclanthology.org/2025.coling-main.652/,,,,,,,no_doi,The official COLING 2025 metadata has a blank DOI field.
221,Chain of Agents: Large Language Models Collaborating on Long-Context Tasks,2024,Advances in Neural Information Processing Systems 37 (NeurIPS 2024),Published,Archival published,https://proceedings.neurips.cc/,,10.52202/079017-4202,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.52202/079017-4202,Chain of Agents: Large Language Models Collaborating on Long-Context Tasks,1.0400,proceedings-article,2024,Chain of Agents: Large Language Models Collaborating on Long-Context Tasks,1.0400,,
222,FlowBench: Revisiting and Benchmarking Workflow-Guided Planning for LLM-based Agents,2024,Findings of the Association for Computational Linguistics: EMNLP 2024,Published,Archival published,https://doi.org/10.18653/v1/2024.findings-emnlp.638,10.18653/v1/2024.findings-emnlp.638,10.18653/v1/2024.findings-emnlp.638,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2024.findings-emnlp.638,FlowBench: Revisiting and Benchmarking Workflow-Guided Planning for LLM-based Agents,1.0000,proceedings-article,2024,,,,
223,AriGraph: Learning Knowledge Graph World Models with Episodic Memory for LLM Agents,2025,Proceedings of the Thirty-Fourth International Joint Conference on Artificial Intelligence (IJCAI 2025),Published,Archival published,https://doi.org/10.24963/ijcai.2025/2,10.24963/ijcai.2025/2,10.24963/ijcai.2025/2,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.24963/ijcai.2025/2,AriGraph: Learning Knowledge Graph World Models with Episodic Memory for LLM Agents,1.0000,proceedings-article,2025,,,,
230,Planning in the Dark: LLM-Symbolic Planning Pipeline without Experts,2025,"Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 39, No. 25",Published,Archival published,https://doi.org/10.1609/aaai.v39i25.34855,10.1609/aaai.v39i25.34855,10.1609/aaai.v39i25.34855,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.1609/aaai.v39i25.34855,Planning in the Dark: LLM-Symbolic Planning Pipeline Without Experts,1.0000,journal-article,2025,,,,
231,PRACT: Optimizing Principled Reasoning and Acting of LLM Agent,2024,Proceedings of the 28th Conference on Computational Natural Language Learning (CoNLL 2024),Published,Archival published,https://doi.org/10.18653/v1/2024.conll-1.33,10.18653/v1/2024.conll-1.33,10.18653/v1/2024.conll-1.33,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2024.conll-1.33,PRACT: Optimizing Principled Reasoning and Acting of LLM Agent,1.0000,proceedings-article,2024,,,,
232,Steering Large Language Models between Code Execution and Textual Reasoning,2025,ICLR 2025,Published,Archival published,https://proceedings.iclr.cc/paper_files/paper/2025/hash/f763f7c9a6599e14b07add5937d8189c-Abstract-Conference.html,,,verified_no_archival_doi_expected_for_venue,,,CodeMind: Evaluating Large Language Models for Implicit and Explicit Code Execution Reasoning,0.6037,journal-article,2026,Large Language Models: A Survey,0.3923,,
233,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,2025,ICLR 2025,Published,Archival published,https://openreview.net/forum?id=nfKfAzkiez,,,verified_no_archival_doi_expected_for_venue,,,Integrating Advantage Actor-Critic in Multi-Robot Collaboration,0.5103,journal-article,2026,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,1.0200,,
234,"AgentBank: Towards Generalized LLM Agents via Fine-Tuning on 50,000+ Interaction Trajectories",2024,Findings of the Association for Computational Linguistics: EMNLP 2024,Published,Archival published,https://doi.org/10.18653/v1/2024.findings-emnlp.116,10.18653/v1/2024.findings-emnlp.116,10.18653/v1/2024.findings-emnlp.116,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2024.findings-emnlp.116,AgentBank: Towards Generalized LLM Agents via Fine-Tuning on 50000+ Interaction Trajectories,0.9214,proceedings-article,2024,,,,
237,OPTIMA: Optimizing Effectiveness and Efficiency for LLM-Based Multi-Agent Systems,2025,Findings of the Association for Computational Linguistics: ACL 2025,Published,Archival published,https://doi.org/10.18653/v1/2025.findings-acl.601,10.18653/v1/2025.findings-acl.601,10.18653/v1/2025.findings-acl.601,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2025.findings-acl.601,Optima: Optimizing Effectiveness and Efficiency for LLM-Based Multi-Agent System,0.9376,proceedings-article,2025,,,,
238,Proactive Agent: Shifting LLM Agents from Reactive Responses to Active Assistance,2025,ICLR 2025,Published,Archival published,https://openreview.net/forum?id=sRIU6k2TcU,,,verified_no_archival_doi_expected_for_venue,,,"Plan Proactive Supports, Not Reactive Responses",0.4458,book-chapter,2026,Proactive Agent: Shifting LLM Agents from Reactive Responses to Active Assistance,1.0200,,
239,TaskBench: Benchmarking Large Language Models for Task Automation,2024,"Advances in Neural Information Processing Systems 37, Datasets and Benchmarks Track (NeurIPS 2024)",Published,Archival published,https://proceedings.neurips.cc/paper_files/paper/2024/hash/085185ea97db31ae6dcac7497616fd3e-Abstract-Datasets_and_Benchmarks_Track.html,,10.52202/079017-0148,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.52202/079017-0148,TaskBench: Benchmarking Large Language Models for Task Automation,1.0400,proceedings-article,2024,TaskBench: Benchmarking Large Language Models for Task Automation,1.0400,,
242,EscapeBench: Towards Advancing Creative Intelligence of Language Model Agents,2025,"Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (ACL 2025), Long Papers",Published,Archival published,https://doi.org/10.18653/v1/2025.acl-long.39,10.18653/v1/2025.acl-long.39,10.18653/v1/2025.acl-long.39,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2025.acl-long.39,EscapeBench: Towards Advancing Creative Intelligence of Language Model Agents,1.0000,proceedings-article,2025,,,,
244,The Lighthouse of Language: Enhancing LLM Agents via Critique-Guided Improvement,2025,Advances in Neural Information Processing Systems 39 (NeurIPS 2025),Accepted,Archival accepted,https://openreview.net/forum?id=D88yhLFzDR,,10.52202/085713-5491,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.52202/085713-5491,The Lighthouse of Language: Enhancing LLM Agents via Critique-Guided Improvement,1.0400,proceedings-article,2025,The Lighthouse of Language: Enhancing LLM Agents via Critique-Guided Improvement,1.0400,,
247,LLMs are Greedy Agents: Effects of RL Fine-tuning on Decision-Making Abilities,2026,ICLR 2026,Published,Archival published,https://openreview.net/forum?id=weUP6H5Ko9,,,verified_no_archival_doi_expected_for_venue,,,LLMs for Explainable Business Decision-Making: A Reinforcement Learning Fine-Tuning Approach,0.3783,posted-content,2025,LLMs are Greedy Agents: Effects of RL Fine-tuning on Decision-Making Abilities,1.0200,,
262,Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,2026,ICLR 2026,Published,Archival published,https://openreview.net/forum?id=eC4ygDs02R,,,verified_no_archival_doi_expected_for_venue,,,AgenticEval: Toward Agentic and Self-Evolving Safety Evaluation of Large Language Models,0.4855,proceedings-article,2026,Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,1.0200,,
268,AgentOCR: Reimagining Agent History via Optical Self-Compression,2026,"Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics, Volume 1: Long Papers",Published,Archival published,https://doi.org/10.18653/v1/2026.acl-long.230,10.18653/v1/2026.acl-long.230,10.18653/v1/2026.acl-long.230,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2026.acl-long.230,AgentOCR: Reimagining Agent History via Optical Self-Compression,1.0000,proceedings-article,2026,,,,
274,"Data Agents: Levels, State of the Art, and Open Problems",2026,"Companion of the 2026 International Conference on Management of Data, SIGMOD Companion 2026",Published,Archival published,https://doi.org/10.1145/3788853.3801878,10.1145/3788853.3801878,10.1145/3788853.3801878,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.1145/3788853.3801878,"Data Agents: Levels, State of the Art, and Open Problems",1.0000,proceedings-article,2026,,,,
279,World of Bits- An Open-Domain Platform for Web-Based Agents,2017,Proceedings of ICML,Published,Archival published,,,,verified_no_archival_doi_expected_for_venue,,,An Open Web Platform for Rule-Based Speech-to-Sign Translation,0.5088,proceedings-article,2016,World of Bits: An Open-Domain Platform for Web-Based Agents,1.0400,,
281,WebShop- Towards Scalable Real-World Web Interaction with Grounded Language Agents,2022,Advances in NeurIPS,Published,Archival published,https://doi.org/10.52202/068431-1508,10.52202/068431-1508,10.52202/068431-1508,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.52202/068431-1508,WebShop: Towards Scalable Real-World Web Interaction with Grounded Language Agents,1.0000,proceedings-article,2022,,,,
282,SeeAct- GPT-4V__ision__ is a Generalist Web Agent if Grounded,2024,Proceedings of ICML,Published,Archival published,https://proceedings.mlr.press/v235/zheng24e.html,,,verified_no_archival_doi_expected_for_venue,,,Performance of GPT-4V(ision) in Ophthalmology: Use of Images in Clinical Questions,0.3175,posted-content,2024,,,,
283,- WebVoyager- Building an End-to-End Web Agent with,2024,Proceedings of ACL (Long Papers),Published,Archival published,https://doi.org/10.18653/v1/2024.acl-long.371,10.18653/v1/2024.acl-long.371,10.18653/v1/2024.acl-long.371,verified_archival_doi_manual,ACL Anthology and Crossref,https://doi.org/10.18653/v1/2024.acl-long.371,WebVoyager: Building an End-to-End Web Agent with Large Multimodal Models,0.7745,proceedings-article,2024,,,doi,Official ACL proceedings DOI; source title was truncated.
284,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration,2018,International Conference on Learning Representations,Published,Archival published,https://openreview.net/forum?id=ryTp3f-0-,,,verified_no_archival_doi_expected_for_venue,,,Data-Efficient Reinforcement Learning Using Active Exploration Method,0.5386,book-chapter,2018,Reinforcement Learning on Web Interfaces Using Workflow-Guided Exploration,1.0400,,
285,DOM-Q-NET- Grounded RL on Structured Language,2019,International Conference on Learning Representations,Published,Archival published,,,,verified_no_archival_doi_expected_for_venue,,,Affordances in Grounded Language Learning,0.4048,proceedings-article,2018,DOM-Q-NET: Grounded RL on Structured Language,1.0400,,
286,A Real-World WebAgent with Planning Long Context Understanding and Program Synthesis,2024,International Conference on Learning Representations,Published,Archival published,https://proceedings.iclr.cc/paper_files/paper/2024/hash/e91bf7dfba0477554994c6d64833e9d8-Abstract-Conference.html,,,verified_no_archival_doi_expected_for_venue,,,The Real-World Context of Long-Term Care Data,0.3744,journal-article,2025,"A Real-World WebAgent with Planning, Long Context Understanding, and Program Synthesis",1.0200,,
287,Large Language Model Powered Agents in the Web,2024,Companion Proceedings of the ACM Web Conference 2024,Published,Archival published,https://doi.org/10.1145/3589335.3641240,10.1145/3589335.3641240,10.1145/3589335.3641240,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.1145/3589335.3641240,Large Language Model Powered Agents in the Web,1.0000,proceedings-article,2024,,,,
288,AutoWebGLM: Bootstrap and Reinforce a Large Language Model-Based Web Navigating Agent,2024,Proceedings of ACM SIGKDD,Published,Archival published,https://doi.org/10.1145/3637528.3671620,10.1145/3637528.3671620,10.1145/3637528.3671620,verified_archival_doi_manual,ACM and Crossref,https://doi.org/10.1145/3637528.3671620,AutoWebGLM: A Large Language Model-based Web Navigating Agent,0.8042,proceedings-article,2024,,,doi,Official KDD proceedings DOI; archival title is 'AutoWebGLM: A Large Language Model-based Web Navigating Agent'.
289,Agent S An Open Agentic Framework that Uses Computers Like a Human,2025,International Conference on Learning Representations,Published,Archival published,https://proceedings.iclr.cc/paper_files/paper/2025/hash/394c7c30ea87b5c3521b4d9e9d419071-Abstract-Conference.html,,,verified_no_archival_doi_expected_for_venue,,,TraceBrain: An Open-Source Framework for Agentic Trace Management,0.4224,proceedings-article,2026,Agent S: An Open Agentic Framework that Uses Computers Like a Human,1.0200,,
295,Large Language Model-Brained GUI Agents- A Survey,2025,Transactions on Machine Learning Research,Published,Archival published,https://openreview.net/pdf?id=xChvYjvXTp,,,verified_no_archival_doi_expected_for_venue,,,Agent Harness for Large Language Model Agents: A Survey,0.6697,posted-content,2026,Large Language Model-Brained GUI Agents: A Survey,1.0200,,
297,A Survey of WebAgents- Towards Next-Generation AI Agents for Web Automation with Large Foundation Models,2025,Proceedings of ACM SIGKDD,Published,Archival published,https://doi.org/10.1145/3711896.3736555,10.1145/3711896.3736555,10.1145/3711896.3736555,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.1145/3711896.3736555,A Survey of WebAgents: Towards Next-Generation AI Agents for Web Automation with Large Foundation Models,1.0000,proceedings-article,2025,,,,
298,WALT- Web Agents that Learn Tools,2026,International Conference on Learning Representations,Published,Archival published,https://proceedings.iclr.cc/paper_files/paper/2026/hash/5b175f9e93873e3a10a6ce43dbb82e05-Abstract-Conference.html,,,verified_no_archival_doi_expected_for_venue,,,WEB APPLICATION SECURITY TOOLS,0.4630,book-chapter,2026,WALT: Web Agents that Learn Tools,1.0200,,
299,Mapping Natural Language Instructions to Mobile UI Action Sequences,2020,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Published,Archival published,https://doi.org/10.18653/v1/2020.acl-main.729,10.18653/v1/2020.acl-main.729,10.18653/v1/2020.acl-main.729,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2020.acl-main.729,Mapping Natural Language Instructions to Mobile UI Action Sequences,1.0000,proceedings-article,2020,,,,
300,Grounding Open-Domain Instructions to Automate Web Support Tasks,2021,Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,Published,Archival published,https://doi.org/10.18653/v1/2021.naacl-main.89,10.18653/v1/2021.naacl-main.89,10.18653/v1/2021.naacl-main.80,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.18653/v1/2021.naacl-main.80,Grounding Open-Domain Instructions to Automate Web Support Tasks,1.0400,proceedings-article,2021,Grounding Open-Domain Instructions to Automate Web Support Tasks,1.0400,,Existing DOI resolved but had low title match (0.242); searched by title instead.
302,WebGLM- Towards an Efficient Web-Enhanced Question Answering System with Human Preferences,2023,Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,Published,Archival published,https://doi.org/10.1145/3580305.3599931,10.1145/3580305.3599931,10.1145/3580305.3599931,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.1145/3580305.3599931,WebGLM: Towards An Efficient Web-Enhanced Question Answering System with Human Preferences,1.0000,proceedings-article,2023,,,,
303,A Zero-Shot Language Agent for Computer Control with Structured Reflection,2023,Findings of the Association for Computational Linguistics: EMNLP 2023,Published,Archival published,https://doi.org/10.18653/v1/2023.findings-emnlp.753,10.18653/v1/2023.findings-emnlp.753,10.18653/v1/2023.findings-emnlp.753,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2023.findings-emnlp.753,A Zero-Shot Language Agent for Computer Control with Structured Reflection,1.0000,proceedings-article,2023,,,,
305,AppAgent Multimodal Agents as Smartphone Users,2025,Proceedings of the CHI Conference on Human Factors in Computing Systems,Published,Archival published,https://doi.org/10.1145/3706598.3713989,10.1145/3706598.3713989,10.1145/3706598.3713600,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.1145/3706598.3713600,AppAgent: Multimodal Agents as Smartphone Users,1.0400,proceedings-article,2025,AppAgent: Multimodal Agents as Smartphone Users,1.0400,,Existing DOI resolved but had low title match (0.187); searched by title instead.
307,Cradle Empowering Foundation Agents Towards General Computer Control,2025,Proceedings of the 42nd International Conference on Machine Learning,Published,Archival published,https://proceedings.mlr.press/v267/tan25h.html,,,verified_no_archival_doi_expected_for_venue,,,Ponder &amp; Press: Advancing Visual GUI Agent towards General Computer Control,0.5757,proceedings-article,2025,Cradle: Empowering foundation agents towards general computer control,1.0400,,
310,Automating the Enterprise with Foundation Models,2024,Proceedings of the VLDB Endowment,Published,Archival published,https://doi.org/10.14778/3685800.3685852,10.14778/3685800.3685852,10.14778/3681954.3681964,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.14778/3681954.3681964,Automating the Enterprise with Foundation Models,1.0400,journal-article,2024,Automating the Enterprise with Foundation Models,1.0400,,Existing DOI resolved but had low title match (0.237); searched by title instead.
311,OpenWebAgent- An Open Toolkit to Enable Web Agents on Large Language Models,2024,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics: System Demonstrations,Published,Archival published,https://doi.org/10.18653/v1/2024.acl-demos.27,10.18653/v1/2024.acl-demos.27,10.18653/v1/2024.acl-demos.8,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.18653/v1/2024.acl-demos.8,OpenWebAgent: An Open Toolkit to Enable Web Agents on Large Language Models,1.0400,proceedings-article,2024,OpenWebAgent: An Open Toolkit to Enable Web Agents on Large Language Models,1.0400,,Existing DOI resolved but had low title match (0.184); searched by title instead.
313,Turn Every Application into an Agent- Towards Efficient Human-Agent-Computer Interaction with API-First LLM-Based Agents,2025,ACL 2025 Long Papers,Published,Archival published,https://aclanthology.org/2025.acl-long.381/,,10.18653/v1/2025.acl-long.381,verified_archival_doi_manual,ACL Anthology and Crossref,https://doi.org/10.18653/v1/2025.acl-long.381,AXIS: Efficient Human-Agent-Computer Interaction with API-First LLM-Based Agents,0.7260,proceedings-article,2025,,,doi,Official ACL proceedings DOI; archival title begins 'AXIS'.
318,ReachAgent Enhancing Mobile Agent via Page Reaching and Operation,2025,Proceedings of the 2025 Conference of the North American Chapter of the Association for Computational Linguistics,Published,Archival published,arXiv:2504.04860,,10.18653/v1/2025.naacl-long.244,added_verified_archival_doi_crossref,Crossref exact-title search,https://doi.org/10.18653/v1/2025.naacl-long.244,ReachAgent: Enhancing Mobile Agent via Page Reaching and Operation,1.0400,proceedings-article,2025,ReachAgent: Enhancing Mobile Agent via Page Reaching and Operation,1.0400,,
319,LiteWebAgent The Open-Source Suite for VLM-Based Web-Agent Applications,2025,Proceedings of the 2025 Conference of the North American Chapter of the Association for Computational Linguistics: System Demonstrations,Published,Archival published,arXiv:2410.06713,,10.18653/v1/2025.naacl-demo.36,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.18653/v1/2025.naacl-demo.36,LiteWebAgent: The Open-Source Suite for VLM-Based Web-Agent Applications,1.0400,proceedings-article,2025,LiteWebAgent: The Open-Source Suite for VLM-Based Web-Agent Applications,1.0400,,
320,LLM-Powered GUI Agents in Phone Automation- Surveying Progress and Prospects,2025,Transactions on Machine Learning Research,Published,Archival published,https://openreview.net/forum?id=yWQqoi1G1K,,,verified_no_archival_doi_manual,Official TMLR/OpenReview record,https://openreview.net/forum?id=yWQqoi1G1K,,,,,,,no_doi,"The archival TMLR record uses OpenReview and has no DOI. DOI 10.20944/preprints202501.0413.v1 identifies a preprint, not the TMLR publication."
321,WebThinker- Empowering Large Reasoning Models with Deep Research Capability,2025,Advances in NeurIPS,Published,Archival published,arXiv:2504.21776,,10.52202/085713-4011,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.52202/085713-4011,WebThinker: Empowering Large Reasoning Models with Deep Research Capability,1.0400,proceedings-article,2025,WebThinker: Empowering Large Reasoning Models with Deep Research Capability,1.0400,,
322,Beyond Browsing API-Based Web Agents,2025,Findings of the Association for Computational Linguistics: ACL 2025,Published,Archival published,https://aclanthology.org/2025.findings-acl.577,,10.18653/v1/2025.findings-acl.577,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.18653/v1/2025.findings-acl.577,Beyond Browsing: API-Based Web Agents,1.0400,proceedings-article,2025,Beyond Browsing: API-Based Web Agents,1.0400,,
328,OPENCUA- Open Foundations for Computer-Use Agents,2025,Advances in NeurIPS,Published,Archival published,arXiv:2508.09123,,10.52202/085713-4669,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.52202/085713-4669,OpenCUA: Open Foundations for Computer-Use Agents,1.0400,proceedings-article,2025,OpenCUA: Open Foundations for Computer-Use Agents,1.0400,,
330,BrowserAgent- Building Web Agents with Human-Inspired Web Browsing Actions,2026,Transactions on Machine Learning Research,Published,Archival published,https://mlanthology.org/tmlr/2026/yu2026tmlr-browseragent/,,,verified_no_archival_doi_expected_for_venue,,,Characterizing Unintended Consequences of GUI Agents For Web Browsing,0.3938,proceedings-article,2026,BrowserAgent: Building Web Agents with Human-Inspired Web Browsing Actions,1.0200,,
332,Agent-SAMA- State-Aware Mobile Assistant,2026,Proceedings of the 40th AAAI Conference on Artificial Intelligence,Published,Archival published,arXiv:2502.09980,,10.1609/aaai.v40i35.40187,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.1609/aaai.v40i35.40187,Agent-SAMA: State-Aware Mobile Assistant,1.0400,journal-article,2026,Agent-SAMA: State-Aware Mobile Assistant,1.0400,,
336,A Comprehensive Survey of Agents for Computer Use,2026,Journal of Artificial Intelligence Research 85,Published,Archival published,https://doi.org/10.1613/jair.1.19490,10.1613/jair.1.19490,10.1613/jair.1.19490,verified_archival_doi_manual,JAIR and Crossref,https://doi.org/10.1613/jair.1.19490,"A Comprehensive Survey of Agents for Computer Use: Foundations, Challenges, and Future Directions",0.6608,journal-article,2026,,,doi,Official Journal of Artificial Intelligence Research DOI.
337,Mind2Web- Towards a Generalist Agent for the Web,2023,Advances in NeurIPS,Published,Archival published,arXiv:2306.06070,,10.52202/075280-1220,added_verified_archival_doi_crossref_openalex,Crossref + OpenAlex exact-title search,https://doi.org/10.52202/075280-1220,Mind2Web: Towards a Generalist Agent for the Web,1.0400,proceedings-article,2023,Mind2Web: Towards a Generalist Agent for the Web,1.0400,,
338,WebArena- A Realistic Web Environment for Building Autonomous Agents,2024,ICLR 2024,Published,Archival published,https://proceedings.iclr.cc/paper_files/paper/2024/hash/4410c0711e9154a7a2d26f9b3816d1ef-Abstract-Conference.html,,,verified_no_archival_doi_expected_for_venue,,,Agents Assemble! Building Autonomous Workflows,0.4288,book-chapter,2025,VisualWebArena: Evaluating Multimodal Agents on Realistic Visual Web Tasks,0.3793,,
339,VisualWebArena- Evaluating Multimodal Agents on Realistic Visually Grounded Web Tasks,2024,Proceedings of ACL (Long Papers),Published,Archival published,https://doi.org/10.18653/v1/2024.acl-long.50,10.18653/v1/2024.acl-long.50,10.18653/v1/2024.acl-long.50,verified_existing_archival_doi,Crossref direct DOI lookup,https://doi.org/10.18653/v1/2024.acl-long.50,VisualWebArena: Evaluating Multimodal Agents on Realistic Visual Web Tasks,0.8590,proceedings-article,2024,,,,
340,WebLINX- Real-World Website Navigation with Multi-Turn Dialogue,2024,Proceedings of ICML,Published,Archival published,https://proceedings.mlr.press/v235/lu24e.html,,,verified_no_archival_doi_expected_for_venue,,,MARS-Bench: A Multi-turn Athletic Real-world Scenario Benchmark for Dialogue Evaluation,0.4128,proceedings-article,2025,WebLINX: Real-World Website Navigation with Multi-Turn Dialogue,1.0400,,
