record_id,title,register_status,register_venue,register_identifier,resolved_via,title_match,found_title,found_venue,found_type,found_year,found_doi,openalex_id,candidate_sources,candidate_count,archival_candidate_count,strong_archival_candidate_count,rejected_title_mismatches,archival_evidence,VERDICT,notes
114,An LLM Compiler for Parallel Function Calling,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 24370-24391",https://proceedings.mlr.press/v235/kim24y.html,openalex:title,1.0,An LLM Compiler for Parallel Function Calling,,preprint,2023,10.48550/arxiv.2312.04511,https://openalex.org/W4389500120,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
116,"LLMs Can’t Plan, But Can Help Planning in LLM-Modulo Frameworks",Preprint/technical report,arXiv / preprint,,openalex:title,1.0,"LLMs Can't Plan, But Can Help Planning in LLM-Modulo Frameworks",,preprint,2024,10.48550/arxiv.2402.01817,https://openalex.org/W4391631244,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
117,On the Self-Verification Limitations of Large Language Models on Reasoning and Planning Tasks,Preprint/technical report,arXiv / preprint,,openalex:title,1.0,On the Self-Verification Limitations of Large Language Models on Reasoning and Planning Tasks,,preprint,2024,10.48550/arxiv.2402.08115,https://openalex.org/W4391833261,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
119,Executable Code Actions Elicit Better LLM Agents,Archival published,"Proceedings of the 41st International Conference on Machine Learning (ICML 2024), PMLR 235, pages 50208-50232",https://proceedings.mlr.press/v235/wang24h.html,openalex:title,1.0,Executable Code Actions Elicit Better LLM Agents,,preprint,2024,10.48550/arxiv.2402.01030,https://openalex.org/W4391555701,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
120,OS-Copilot Towards Generalist Computer Agents with Self-Improvement,Preprint/technical report,arXiv / preprint,,openalex:title,1.0,OS-Copilot: Towards Generalist Computer Agents with Self-Improvement,,preprint,2024,10.48550/arxiv.2402.07456,https://openalex.org/W4391799114,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
121,UFO A UI-Focused Agent for Windows OS Interaction,Preprint/technical report,arXiv / Microsoft technical report,,crossref:title,1.0,UFO: A UI-Focused Agent for Windows OS Interaction,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),proceedings-article,2025,10.18653/v1/2025.naacl-long.26,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 597-622 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)'
122,Understanding the planning of LLM agents A survey,Preprint/technical report,arXiv / survey,,openalex:title,1.0,Understanding the planning of LLM agents: A survey,,preprint,2024,10.48550/arxiv.2402.02716,https://openalex.org/W4391620956,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
123,LLMs in the Imaginarium: Tool Learning through Simulated Trial and Error,Preprint/technical report,arXiv / preprint,,crossref:title,1.0,LLMs in the Imaginarium: Tool Learning through Simulated Trial and Error,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2024,10.18653/v1/2024.acl-long.570,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 10583-10604 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)'
124,KnowAgent Knowledge-Augmented Planning for LLM-Based Agents,Preprint/technical report,arXiv / preprint,,crossref:title,1.0,KnowAgent: Knowledge-Augmented Planning for LLM-Based Agents,Findings of the Association for Computational Linguistics: NAACL 2025,proceedings-article,2025,10.18653/v1/2025.findings-naacl.205,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 3709-3732 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: NAACL 2025',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: NAACL 2025'
125,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,Archival published,"Proceedings of the AAAI Conference on Artificial Intelligence, volume 38, issue 16, pages 17682–17690",https://doi.org/10.1609/aaai.v38i16.29720,crossref:doi,1.0,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,Proceedings of the AAAI Conference on Artificial Intelligence,journal-article,2024,10.1609/aaai.v38i16.29720,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: location[conference]='Proceedings of the AAAI Conference on Artificial Intelligence' | openalex:doi: DOI prefix 10.1609 (AAAI) | openalex:doi: pages 17682-17690 | crossref:doi: crossref type=journal-article venue='Proceedings of the AAAI Conference on Artificial Intelligence',OK_ARCHIVAL,
126,Large Language Model based Multi-Agents - A Survey of Progress and Challenges,Preprint/technical report,arXiv / survey; uploaded duplicate,,openalex:title,1.0,Large Language Model based Multi-Agents: A Survey of Progress and Challenges,,preprint,2024,10.48550/arxiv.2402.01680,https://openalex.org/W4391591599,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
127,THE LANDSCAPE OF EMERGING AI AGENT ARCHITECTURES,Preprint/technical report,arXiv (tech report),2404.11584,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
128,A Survey on the Memory Mechanism of Large Language Model based Agents,Preprint/technical report,arXiv / survey,,crossref:title,1.0,A Survey on the Memory Mechanism of Large Language Model-based Agents,ACM Transactions on Information Systems,journal-article,2025,10.1145/3748302,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: location[journal]='ACM Transactions on Information Systems' | openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 1-47 | crossref:title: crossref type=journal-article venue='ACM Transactions on Information Systems',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'ACM Transactions on Information Systems'
129,The Landscape of Emerging AI Agent Architectures for Reasoning Planning and Tool Calling A Survey,Preprint/technical report,arXiv / survey; uploaded duplicate,,openalex:title,1.0,"The Landscape of Emerging AI Agent Architectures for Reasoning, Planning, and Tool Calling: A Survey",,preprint,2024,10.48550/arxiv.2404.11584,https://openalex.org/W4394948161,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
130,Agent Design Pattern Catalogue A Collection of Architectural Patterns for Foundation Model based Agents,Preprint/technical report,arXiv / preprint,,crossref:title,1.0,Agent design pattern catalogue: A collection of architectural patterns for foundation model based agents,Journal of Systems and Software,journal-article,2025,10.1016/j.jss.2024.112278,,openalex:title | openalex:title | openalex:title | crossref:title | crossref:title,5,2,2,,openalex:title: location[journal]='Journal of Systems and Software' | openalex:title: DOI prefix 10.1016 (Elsevier) | openalex:title: pages 112278-112278 | crossref:title: crossref type=journal-article venue='Journal of Systems and Software',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Journal of Systems and Software'
131,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,Archival published,Advances in Neural Information Processing Systems 37 (NeurIPS 2024),https://proceedings.neurips.cc/paper_files/paper/2024/hash/5a7c947568c1b11d7d4a2c5b9b3f9e7f-Abstract-Conference.html,crossref:title,1.0,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-1601,,openalex:title | crossref:title,2,1,1,,crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 37',OK_ARCHIVAL,
132,AvaTaR: Optimizing LLM Agents for Tool Usage via Contrastive Reasoning,Preprint/technical report,arXiv / preprint,,crossref:title,1.0,AvaTaR: Optimizing LLM Agents for Tool Usage via Contrastive Reasoning,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-0817,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 25981-26010 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 37',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 37'
133,Tool Learning with Large Language Models: A Survey,Preprint/technical report,arXiv / survey,,openalex:title,1.0,Tool learning with large language models: a survey,Frontiers of Computer Science,article,2025,10.1007/s11704-024-40678-2,https://openalex.org/W4406297511,openalex:title | openalex:title,2,1,0,,openalex:title: location[journal]='Frontiers of Computer Science' | openalex:title: DOI prefix 10.1007 (Springer),OK_PREPRINT,uncorroborated OpenAlex-only archival signal ignored pending manual verification: Frontiers of Computer Science
134,Mobile-Agent-v2 Mobile Device Operation Assistant with Effective Navigation via Multi-Agent Collaboration,Preprint/technical report,arXiv / preprint,,crossref:title,1.0,Mobile-Agent-v2: Mobile Device Operation Assistant with Effective Navigation via Multi-Agent Collaboration,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-0088,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 2686-2710 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 37',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 37'
135,AppWorld A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,Unconfirmed,ACL 2024 / benchmark paper likely; verify before final citation,,crossref:title,1.0,AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2024,10.18653/v1/2024.acl-long.850,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 16022-16076 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',UPGRADE,register 'Unconfirmed'; strong archival evidence 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)'
137,Recursive Introspection Teaching Language Model Agents How to Self-Improve,Preprint/technical report,arXiv / preprint,,crossref:title,1.0,Recursive Introspection: Teaching Language Model Agents How to Self-Improve,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-1754,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 55249-55285 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 37',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Advances in Neural Information Processing Systems 37'
138,Automated Design of Agentic Systems,Preprint/technical report,arXiv / preprint,,openalex:title,1.0,Automated Design of Agentic Systems,,preprint,2024,10.48550/arxiv.2408.08435,https://openalex.org/W4402500863,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
139,Can We Rely on LLM Agents to Draft Long-Horizon Plans: Let’s Take TravelPlanner as an Example,Preprint/technical report,arXiv / preprint,,openalex:title,1.0,Can We Rely on LLM Agents to Draft Long-Horizon Plans? Let's Take TravelPlanner as an Example,,preprint,2024,10.48550/arxiv.2408.06318,https://openalex.org/W4402387500,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
140,A Survey on Complex Tasks for Goal-Directed Interactive Agents,Preprint/technical report,arXiv / survey,,openalex:title,1.0,A Survey on Complex Tasks for Goal-Directed Interactive Agents,,preprint,2024,10.48550/arxiv.2409.18538,https://openalex.org/W4403798795,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
141,xLAM A Family of Large Action Models to Empower AI Agent Systems,Preprint/technical report,arXiv / Salesforce technical report,,crossref:title,1.0,xLAM: A Family of Large Action Models to Empower AI Agent Systems,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),proceedings-article,2025,10.18653/v1/2025.naacl-long.578,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 11583-11597 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)'
142,Magentic-One: A Generalist Multi-Agent System for Solving Complex Tasks,Preprint/technical report,arXiv / Microsoft technical report,,openalex:title,1.0,Magentic-One: A Generalist Multi-Agent System for Solving Complex Tasks,,preprint,2024,10.48550/arxiv.2411.04468,https://openalex.org/W4404396586,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
143,Generalist Virtual Agents: A Survey on Autonomous Agents Across Digital Platforms,Preprint/technical report,arXiv / survey,,openalex:title,1.0,Generalist Virtual Agents: A Survey on Autonomous Agents Across Digital Platforms,,preprint,2024,10.48550/arxiv.2411.10943,https://openalex.org/W4404570349,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
145,Zep A Temporal Knowledge Graph Architecture for Agent Memory,Preprint/technical report,arXiv / technical report,,openalex:title,1.0,Zep: A Temporal Knowledge Graph Architecture for Agent Memory,,preprint,2025,10.48550/arxiv.2501.13956,https://openalex.org/W4406840428,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
146,Agentic Reasoning: Reasoning LLMs with Tools for the Deep Research,Preprint/technical report,arXiv / preprint,,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
147,PlanGenLLMs: A Modern Survey of LLM Planning Capabilities,Archival published,Proceedings of ACL (Long Papers),https://doi.org/10.18653/v1/2025.acl-long.958,crossref:doi,1.0,PlanGenLLMs: A Modern Survey of LLM Planning Capabilities,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2025,10.18653/v1/2025.acl-long.958,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 19497-19521 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',OK_ARCHIVAL,
148,Position: Episodic Memory is the Missing Piece for Long-Term LLM Agents,Preprint/technical report,arXiv preprint arXiv:2502.06975,,openalex:title,1.0,Position: Episodic Memory is the Missing Piece for Long-Term LLM Agents,,preprint,2025,10.48550/arxiv.2502.06975,https://openalex.org/W4407423795,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
149,"Agentic Large Language Models, a survey",Preprint/technical report,arXiv / survey,,openalex:title,1.0,"Agentic Large Language Models, a Survey",Journal of Artificial Intelligence Research,article,2025,10.1613/jair.1.18675,https://openalex.org/W4409318329,openalex:title,1,1,0,,openalex:title: location[journal]='Journal of Artificial Intelligence Research' | openalex:title: DOI prefix 10.1613 (JAIR),OK_PREPRINT,uncorroborated OpenAlex-only archival signal ignored pending manual verification: Journal of Artificial Intelligence Research
150,API Agents vs. GUI Agents: Divergence and Convergence,Preprint/technical report,arXiv / preprint,,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
151,Advances and Challenges in Foundation Agents From Brain-Inspired Intelligence to Evolutionary_ Collaborativ_ and Safe Systems,Preprint/technical report,"arXiv (survey/""book"")",2504.01990,datacite:arxiv,0.996,"Advances and Challenges in Foundation Agents: From Brain-Inspired Intelligence to Evolutionary, Collaborative, and Safe Systems",arXiv,Preprint,2025,10.48550/arxiv.2504.01990,,datacite:arxiv | openalex:arxiv,2,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2504.01990,OK_PREPRINT,
152,Advances and Challenges in Foundation Agents,Preprint/technical report,arXiv book/survey; uploaded duplicate,,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
153,Agentic Reasoning and Tool Integration for LLMs via Reinforcement Learning,Preprint/technical report,arXiv / preprint,,openalex:title,1.0,Agentic Reasoning and Tool Integration for LLMs via Reinforcement Learning,,preprint,2025,10.48550/arxiv.2505.01441,https://openalex.org/W4415025988,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
154,UFO2: The Desktop AgentOS,Preprint/technical report,arXiv / Microsoft technical report,,openalex:title,1.0,UFO2: The Desktop AgentOS,,preprint,2025,10.48550/arxiv.2504.14603,https://openalex.org/W4416374833,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
155,A Survey on Large Language Model based Human-Agent Systems,Preprint/technical report,arXiv / survey,,crossref:title,1.0,A Survey on Large Language Model based Human-Agent Systems,,posted-content,2025,10.36227/techrxiv.174612962.26131807/v1,,openalex:title | openalex:title | crossref:title | crossref:title,4,0,0,,crossref:title: crossref type=posted-content (preprint),OK_PREPRINT,
156,LLM-Based Human-Agent Collaboration and Interaction Systems A Survey,Preprint/technical report,arXiv / survey; overlaps with previous human-agent survey,,crossref:title,1.0,LLM-Based Human-Agent Collaboration and Interaction Systems: A Survey,Findings of the Association for Computational Linguistics: ACL 2026,proceedings-article,2026,10.18653/v1/2026.findings-acl.1811,,openalex:title | openalex:title | openalex:title | openalex:title | crossref:title | crossref:title | crossref:title,7,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 36335-36364 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2026',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: ACL 2026'
157,ReflAct World-Grounded Decision Making in LLM Agents via Goal-State Reflection,Archival published,Proceedings of EMNLP,arXiv:2505.15182,crossref:title,1.0,ReflAct: World-Grounded Decision Making in LLM Agents via Goal-State Reflection,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,proceedings-article,2025,10.18653/v1/2025.emnlp-main.1697,,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title | openalex:title | crossref:title,6,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 33421-33453 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing',OK_ARCHIVAL,
158,Deep Research Agents: A Systematic Examination And Roadmap,Preprint/technical report,arXiv / survey,,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
160,Doc2Agent Scalable Generation of Tool-Using Agents from API Documentation,Preprint/technical report,arXiv / preprint,,openalex:title,1.0,Doc2Agent: Scalable Generation of Tool-Using Agents from API Documentation,,preprint,2025,10.48550/arxiv.2506.19998,https://openalex.org/W4414988052,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
161,Evolutionary Perspectives on the Evaluation of LLM-Based AI Agents A Comprehensive Survey,Preprint/technical report,arXiv / survey,,openalex:title,1.0,Evolutionary Perspectives on the Evaluation of LLM-Based AI Agents: A Comprehensive Survey,,preprint,2025,10.48550/arxiv.2506.11102,https://openalex.org/W4415068065,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
162,OS Agents: A Survey on MLLM-based Agents for General Computing Devices Use,Archival published,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics,arXiv:2412.04453,crossref:title,1.0,OS Agents: A Survey on MLLM-Based Agents for General Computing Devices Use,,posted-content,2024,10.20944/preprints202412.2294.v1,,openalex:title | crossref:title,2,0,0,,crossref:title: crossref type=posted-content (preprint),DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
164,ACON: Optimizing Context Compression for Long-horizon LLM Agents,Preprint/technical report,arXiv / preprint,,openalex:title,1.0,ACON: Optimizing Context Compression for Long-horizon LLM Agents,,preprint,2025,10.48550/arxiv.2510.00615,https://openalex.org/W4414808569,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
165,Beyond Pipelines: A Survey of the Paradigm Shift toward Model-Native Agentic AI,Preprint/technical report,arXiv / survey with journal-style template,,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
167,Memory as Action: Autonomous Context Curation for Long-Horizon Agentic Tasks,Preprint/technical report,arXiv / preprint,,crossref:title,1.0,Memory as Action: Autonomous Context Curation for Long-Horizon Agentic Tasks,Findings of the Association for Computational Linguistics: ACL 2026,proceedings-article,2026,10.18653/v1/2026.findings-acl.956,,openalex:title | crossref:title,2,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 19149-19164 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2026',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: ACL 2026'
168,Beyond Training: Enabling Self-Evolution of Agents with MOBIMEM,Preprint/technical report,arXiv / preprint,,openalex:title,1.0,Beyond Training: Enabling Self-Evolution of Agents with MOBIMEM,,preprint,2025,10.48550/arxiv.2512.15784,https://openalex.org/W4417531570,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
169,"Large Language Model Agents: A Comprehensive Survey on Architectures, Capabilities, and Applications",Archival published,"Preprints.org, not peer-reviewed version",,crossref:title,1.0,"Large Language Model Agents: A Comprehensive Survey on Architectures, Capabilities, and Applications",,posted-content,2025,10.20944/preprints202512.2119.v1,,openalex:title | crossref:title,2,0,0,,crossref:title: crossref type=posted-content (preprint),DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
170,"Memory in the Age of AI Agents: A Survey Forms, Functions and Dynamics",Preprint/technical report,arXiv / survey,,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
171,Agentic Reasoning for Large Language Models,Preprint/technical report,arXiv / survey,,openalex:title,1.0,Agentic Reasoning for Large Language Models,,preprint,2026,10.48550/arxiv.2601.12538,https://openalex.org/W7125263063,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
172,"AI Agent Systems: Architectures, Applications, and Evaluation",Preprint/technical report,arXiv / survey,,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
173,From language to action: a review of large language models as autonomous agents and tool users,Archival published,Artificial Intelligence Review,https://doi.org/10.1007/s10462-025-11190-1,crossref:title,1.0,From language to action: a review of large language models as autonomous agents and tool users,Artificial Intelligence Review,journal-article,2026,10.1007/s10462-025-11471-9,,openalex:title | crossref:title,2,2,2,openalex:doi: title mismatch 0.438 -> Pathologyvlm: a large vision-language model for pathology image understanding | crossref:doi: title mismatch 0.438 -> Pathologyvlm: a large vision-language model for pathology image understanding,openalex:title: location[journal]='Artificial Intelligence Review' | openalex:title: DOI prefix 10.1007 (Springer) | crossref:title: crossref type=journal-article venue='Artificial Intelligence Review',OK_ARCHIVAL,
174,"Toward Efficient Agents: Memory, Tool learning, and Planning",Preprint/technical report,arXiv / survey,,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
175,A Survey on the Optimization of Large Language Model-based agents,Archival published,ACM-style journal article / arXiv version,,crossref:title,1.0,A Survey on the Optimization of Large Language Model-based Agents,ACM Computing Surveys,journal-article,2026,10.1145/3789261,,openalex:title | crossref:title,2,2,2,,openalex:title: location[journal]='ACM Computing Surveys' | openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 1-37 | crossref:title: crossref type=journal-article venue='ACM Computing Surveys',VENUE_MISMATCH,register 'ACM-style journal article / arXiv version' vs external archival venues ['ACM Computing Surveys']
176,PlanBench An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,Archival published,"NeurIPS 2023 Datasets & Benchmarks Track (NeurIPS vol. 36, pp. 38975–38987)",proceedings.neurips.cc hash 7a92bcdede88c7afd108072faf5485c8; 2206.10498,crossref:title,1.0,PlanBench: An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,Advances in Neural Information Processing Systems 36,proceedings-article,2023,10.52202/075280-1693,,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title | crossref:title,5,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 38975-38987 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',OK_ARCHIVAL,
177,Language Model Cascades,Preprint/technical report,"arXiv (ICML 2022 ""Beyond Bayes"" workshop, non-archival)",2207.10342,datacite:arxiv,1.0,Language Model Cascades,arXiv,Preprint,2022,10.48550/arxiv.2207.10342,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2207.10342,OK_PREPRINT,
178,Visual ChatGPT Talking Drawing and Editing with Visual Foundation Models,Preprint/technical report,,2303.04671,datacite:arxiv,1.0,"Visual ChatGPT: Talking, Drawing and Editing with Visual Foundation Models",arXiv,Preprint,2023,10.48550/arxiv.2303.04671,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2303.04671,OK_PREPRINT,
179,Can Large Language Models Play Text Games Well Current State-of-the-Art and Open Questions,Preprint/technical report,arXiv,2304.02868,datacite:arxiv,1.0,Can Large Language Models Play Text Games Well? Current State-of-the-Art and Open Questions,arXiv,Preprint,2023,10.48550/arxiv.2304.02868,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2304.02868,OK_PREPRINT,
180,Introspective Tips Large Language Model for In-Context Decision Making,Preprint/technical report,,2305.11598,datacite:arxiv,1.0,Introspective Tips: Large Language Model for In-Context Decision Making,arXiv,Preprint,2023,10.48550/arxiv.2305.11598,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2305.11598,OK_PREPRINT,
181,Knowledge-enhanced Agents for Interactive Text Games,Archival published,"K-CAP '23: Proceedings of the 12th Knowledge Capture Conference, pages 157-165",https://doi.org/10.1145/3587259.3627561,crossref:doi,1.0,Knowledge-enhanced Agents for Interactive Text Games,Proceedings of the 12th Knowledge Capture Conference 2023,proceedings-article,2023,10.1145/3587259.3627561,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.1145 (ACM) | openalex:doi: pages 157-165 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 12th Knowledge Capture Conference 2023',OK_ARCHIVAL,
