run_index,agent,site,rep,architecture,architecture_name,model_key,model,status,strict_field_f1,strict_field_precision,strict_field_recall,field_tp,field_fp,field_fn,record_precision,record_recall,record_f1,matched_records,predicted_records,gold_records,record_completeness,schema_adherence,schema_error_count,non_schema_field_count,selector_pair_coverage,quote_coverage,verified_provenance_precision,verified_provenance_recall,supported_field_count,unsupported_field_count,null_rating_accuracy,latency_seconds,input_tokens,output_tokens,browser_actions,tool_actions,task_success,unsupported_value_rate,non_schema_field_rate
90,A3__kimi,site_01,1,A3,Playwright-MCP ReAct Agent,kimi,kimi-k2.6,partial_failure,0.8857142857142858,1.0,0.7948717948717948,31,0,8,1.0,0.8,0.888888888888889,8,8,10,0.8,1,0,0,1.0,1.0,1.0,0.7948717948717948,31,0,1.0,1130.248,415284,32966,42,42,0,0.0,0.0
91,A3__kimi,site_04,1,A3,Playwright-MCP ReAct Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,40,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,1.0,0.75,0.75,30,10,,900.718,283123,29030,33,33,1,0.25,0.0
92,A1__gemma,site_02,2,A1,Direct DOM Snapshot Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,314.438,172222,24318,0,10,0,0.0,0.0
93,A2__qwen,site_03,1,A2,Schema-State Ground-and-Verify Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,15,35,0.0,0.0,0.0,0,5,10,0.0,1,0,0,1.0,1.0,0.0,0.0,0,15,0.0,167.935,29419,12723,0,20,0,1.0,0.0
94,A3__gemma,site_02,1,A3,Playwright-MCP ReAct Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,1914.515,798709,158761,21,21,0,0.0,0.0
95,A1__gemma,site_04,3,A1,Direct DOM Snapshot Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,40,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,,294.724,173135,22880,0,10,0,0.0,0.0
96,A2__kimi,site_04,1,A2,Schema-State Ground-and-Verify Agent,kimi,kimi-k2.6,completed,1.0,1.0,1.0,40,0,0,1.0,1.0,1.0,10,10,10,1.0,1,0,0,1.0,1.0,0.75,0.75,30,10,,320.244,39685,11454,0,23,1,0.25,0.0
97,A3__kimi,site_02,1,A3,Playwright-MCP ReAct Agent,kimi,kimi-k2.6,partial_failure,0.8059701492537313,0.9642857142857143,0.6923076923076923,27,1,12,1.0,0.7,0.8235294117647058,7,7,10,0.6,1,0,0,1.0,1.0,0.9642857142857143,0.6923076923076923,27,1,0.0,1199.781,558743,39926,51,51,0,0.03571428571428571,0.0
98,A3__qwen,site_01,3,A3,Playwright-MCP ReAct Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,186.303,456364,9927,36,36,0,0.0,0.0
99,A1__qwen,site_01,2,A1,Direct DOM Snapshot Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,4,39,0.0,0.0,0.0,0,1,10,0.0,1,0,0,1.0,0.5,0.0,0.0,0,4,0.0,403.565,169409,27596,0,10,0,1.0,0.0
100,A3__kimi,site_03,3,A3,Playwright-MCP ReAct Agent,kimi,kimi-k2.6,completed,0.37142857142857144,0.37142857142857144,0.37142857142857144,13,22,22,0.4,0.4,0.4000000000000001,4,10,10,0.4,0,6,0,1.0,0.9714285714285714,0.34285714285714286,0.34285714285714286,12,23,0.6,853.862,184527,26145,27,27,0,0.6571428571428571,0.0
101,A1__qwen,site_02,3,A1,Direct DOM Snapshot Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,12,39,0.0,0.0,0.0,0,3,10,0.0,1,0,0,1.0,0.5,0.0,0.0,0,12,0.0,271.372,169760,17542,0,10,0,1.0,0.0
102,A1__kimi,site_02,2,A1,Direct DOM Snapshot Agent,kimi,kimi-k2.6,completed,0.9873417721518987,0.975,1.0,39,1,0,1.0,1.0,1.0,10,10,10,0.9,1,0,0,1.0,1.0,0.975,1.0,39,1,0.0,435.979,664180,13702,0,10,1,0.025,0.0
103,A1__kimi,site_03,2,A1,Direct DOM Snapshot Agent,kimi,kimi-k2.6,completed,0.7142857142857143,0.7142857142857143,0.7142857142857143,25,10,10,0.7,0.7,0.7,7,10,10,0.7,1,0,0,1.0,1.0,0.7142857142857143,0.7142857142857143,25,10,0.6,309.755,195603,10776,0,10,0,0.2857142857142857,0.0
104,A1__kimi,site_04,3,A1,Direct DOM Snapshot Agent,kimi,kimi-k2.6,partial_failure,0.7499999999999999,1.0,0.6,24,0,16,1.0,0.6,0.7499999999999999,6,6,10,0.6,1,0,0,1.0,0.7083333333333334,0.7083333333333334,0.425,17,7,,335.327,581976,6427,0,10,0,0.2916666666666667,0.0
105,A3__qwen,site_04,2,A3,Playwright-MCP ReAct Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,0,40,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,,187.144,411838,9914,23,23,0,0.0,0.0
106,A1__gemma,site_02,1,A1,Direct DOM Snapshot Agent,gemma,gemma4-131k:latest,partial_failure,0.0,0.0,0.0,0,0,39,0.0,0.0,0.0,0,0,10,0.0,1,0,0,0,0,0,0.0,0,0,0.0,311.098,172295,24317,0,10,0,0.0,0.0
107,A1__qwen,site_01,3,A1,Direct DOM Snapshot Agent,qwen,qwen2.5vl:7b,partial_failure,0.0,0.0,0.0,0,4,39,0.0,0.0,0.0,0,1,10,0.0,1,0,0,1.0,0.5,0.0,0.0,0,4,0.0,401.937,169409,27596,0,10,0,1.0,0.0
108,A3__gemma,site_04,1,A3,Playwright-MCP ReAct Agent,gemma,gemma4-131k:latest,partial_failure,0.18181818181818182,1.0,0.1,4,0,36,1.0,0.1,0.18181818181818182,1,1,10,0.1,0,3,0,1.0,1.0,0.75,0.075,3,1,,2108.32,768268,176016,21,21,0,0.25,0.0
